Address Name	Booth Number	Latitude	Longitude	Search	Settlement Name	Settlement Number
קהילות יעקב 10	37.4	31.812250014307097	35.21652998179968	קהילות יעקב 10, ירושלים	ירושלים	3000
קהילות יעקב 10	37.5	31.812250014307097	35.21652998179968	קהילות יעקב 10, ירושלים	ירושלים	3000
ילין דוד 41	43.1	31.786570000362843	35.21399998814519	ילין דוד 41, ירושלים	ירושלים	3000
ילין דוד 41	43.2	31.786570000362843	35.21399998814519	ילין דוד 41, ירושלים	ירושלים	3000
ילין דוד 41	43.3	31.786570000362843	35.21399998814519	ילין דוד 41, ירושלים	ירושלים	3000
ילין דוד 41	43.4	31.786570000362843	35.21399998814519	ילין דוד 41, ירושלים	ירושלים	3000
מלכי ישראל 75	44.1	31.790490006930426	35.21078997068611	מלכי ישראל 75, ירושלים	ירושלים	3000
מלכי ישראל 75	44.2	31.790490006930426	35.21078997068611	מלכי ישראל 75, ירושלים	ירושלים	3000
מלכי ישראל 75	44.3	31.790490006930426	35.21078997068611	מלכי ישראל 75, ירושלים	ירושלים	3000
מלכי ישראל 75	44.4	31.790490006930426	35.21078997068611	מלכי ישראל 75, ירושלים	ירושלים	3000
הטורים 23	53.1	31.78901001428673	35.21025000848354	הטורים 23, ירושלים	ירושלים	3000
הטורים 23	53.2	31.78901001428673	35.21025000848354	הטורים 23, ירושלים	ירושלים	3000
הטורים 23	53.3	31.78901001428673	35.21025000848354	הטורים 23, ירושלים	ירושלים	3000
הטורים 23	53.4	31.78901001428673	35.21025000848354	הטורים 23, ירושלים	ירושלים	3000
עזרת תורה 45	62.1	31.79907504459207	35.21521402906298	עזרת תורה 45, ירושלים	ירושלים	3000
עזרת תורה 45	62.2	31.79907504459207	35.21521402906298	עזרת תורה 45, ירושלים	ירושלים	3000
עזרת תורה 45	62.3	31.79907504459207	35.21521402906298	עזרת תורה 45, ירושלים	ירושלים	3000
עזרת תורה 45	62.4	31.79907504459207	35.21521402906298	עזרת תורה 45, ירושלים	ירושלים	3000
עזרת תורה 45	62.5	31.79907504459207	35.21521402906298	עזרת תורה 45, ירושלים	ירושלים	3000
עזרת תורה 45	62.6	31.79907504459207	35.21521402906298	עזרת תורה 45, ירושלים	ירושלים	3000
סורוצקין 40	66.1	31.798919980320576	35.20749001540594	סורוצקין 40, ירושלים	ירושלים	3000
סורוצקין 40	66.2	31.798919980320576	35.20749001540594	סורוצקין 40, ירושלים	ירושלים	3000
סורוצקין 40	66.3	31.798919980320576	35.20749001540594	סורוצקין 40, ירושלים	ירושלים	3000
סורוצקין 40	66.4	31.798919980320576	35.20749001540594	סורוצקין 40, ירושלים	ירושלים	3000
סורוצקין 40	66.5	31.798919980320576	35.20749001540594	סורוצקין 40, ירושלים	ירושלים	3000
סורוצקין 40	66.6	31.798919980320576	35.20749001540594	סורוצקין 40, ירושלים	ירושלים	3000
ראשון לציון 7	68.1	31.793519981109313	35.20144004151291	ראשון לציון 7, ירושלים	ירושלים	3000
ראשון לציון 7	68.2	31.793519981109313	35.20144004151291	ראשון לציון 7, ירושלים	ירושלים	3000
ראשון לציון 7	68.3	31.793519981109313	35.20144004151291	ראשון לציון 7, ירושלים	ירושלים	3000
ראשון לציון 7	68.4	31.793519981109313	35.20144004151291	ראשון לציון 7, ירושלים	ירושלים	3000
ראשון לציון 7	68.5	31.793519981109313	35.20144004151291	ראשון לציון 7, ירושלים	ירושלים	3000
המעיין 2	69.0	31.766900020542977	35.16203998362741	המעיין 2, ירושלים	ירושלים	3000
אביגדורי 4	81.1	31.785339997981367	35.219240018734354	אביגדורי 4, ירושלים	ירושלים	3000
אביגדורי 4	81.2	31.785339997981367	35.219240018734354	אביגדורי 4, ירושלים	ירושלים	3000
אביגדורי 4	81.3	31.785339997981367	35.219240018734354	אביגדורי 4, ירושלים	ירושלים	3000
אביגדורי 4	81.4	31.785339997981367	35.219240018734354	אביגדורי 4, ירושלים	ירושלים	3000
אביגדורי 4	81.5	31.785339997981367	35.219240018734354	אביגדורי 4, ירושלים	ירושלים	3000
הלל 30	83.1	31.779629994081162	35.219219985985774	הלל 30, ירושלים	ירושלים	3000
הלל 30	83.2	31.779629994081162	35.219219985985774	הלל 30, ירושלים	ירושלים	3000
הלל 30	83.3	31.779629994081162	35.219219985985774	הלל 30, ירושלים	ירושלים	3000
הלל 17	84.1	31.78049999372125	35.217379990600705	הלל 17, ירושלים	ירושלים	3000
הלל 17	84.2	31.78049999372125	35.217379990600705	הלל 17, ירושלים	ירושלים	3000
הלל 17	84.3	31.78049999372125	35.217379990600705	הלל 17, ירושלים	ירושלים	3000
הלל 17	84.4	31.78049999372125	35.217379990600705	הלל 17, ירושלים	ירושלים	3000
נרקיס 11	85.0	31.778870006920243	35.212759969389424	נרקיס 11, ירושלים	ירושלים	3000
הקרן הקיימת 14	87.1	31.776922786137796	35.21470207206849	הקרן הקיימת 14, ירושלים	ירושלים	3000
הקרן הקיימת 14	87.2	31.776922786137796	35.21470207206849	הקרן הקיימת 14, ירושלים	ירושלים	3000
הקרן הקיימת 14	87.3	31.776922786137796	35.21470207206849	הקרן הקיימת 14, ירושלים	ירושלים	3000
רבי עקיבא 7	89.1	31.77962692062221	35.21819785575132	רבי עקיבא 7, ירושלים	ירושלים	3000
רבי עקיבא 7	89.2	31.77962692062221	35.21819785575132	רבי עקיבא 7, ירושלים	ירושלים	3000
רבי עקיבא 7	89.3	31.77962692062221	35.21819785575132	רבי עקיבא 7, ירושלים	ירושלים	3000
רבי עקיבא 7	89.4	31.77962692062221	35.21819785575132	רבי עקיבא 7, ירושלים	ירושלים	3000
שמעון הצדיק 23	120.1	31.793629993588496	35.22463997603609	שמעון הצדיק 23, ירושלים	ירושלים	3000
שמעון הצדיק 23	120.2	31.793629993588496	35.22463997603609	שמעון הצדיק 23, ירושלים	ירושלים	3000
שמעון הצדיק 23	120.3	31.793629993588496	35.22463997603609	שמעון הצדיק 23, ירושלים	ירושלים	3000
שמעון הצדיק 23	120.4	31.793629993588496	35.22463997603609	שמעון הצדיק 23, ירושלים	ירושלים	3000
שמעון הצדיק 23	120.5	31.793629993588496	35.22463997603609	שמעון הצדיק 23, ירושלים	ירושלים	3000
