Settlement Number,Booth Number,Settlement Name,Address Name,Search,Latitude,Longitude
3000,2.0,ירושלים,"שמואל הנביא,83א","שמואל הנביא,83א, ירושלים",31.79482022561532,35.220462028851465
3000,3.0,ירושלים,"מגן האלף,1","מגן האלף,1, ירושלים",31.794867860480267,35.22301557812251
3000,4.0,ירושלים,"פישל אהרן,29","פישל אהרן,29, ירושלים",31.794522258688854,35.220329441255096
3000,5.1,ירושלים,"שבטי ישראל,27","שבטי ישראל,27, ירושלים",31.783699994806057,35.224520031001674
3000,5.2,ירושלים,"שבטי ישראל,27","שבטי ישראל,27, ירושלים",31.783699994806057,35.224520031001674
3000,6.0,ירושלים,"מגן האלף,1","מגן האלף,1, ירושלים",31.794867860480267,35.22301557812251
3000,7.0,ירושלים,"נטר,40","נטר,40, ירושלים",31.795050013714956,35.22476000488956
3000,8.0,ירושלים,"מגן האלף,3","מגן האלף,3, ירושלים",31.794867860480267,35.22301557812251
3000,9.0,ירושלים,"פישל אהרן,29","פישל אהרן,29, ירושלים",31.794522258688854,35.220329441255096
3000,10.0,ירושלים,"מגן האלף,3","מגן האלף,3, ירושלים",31.794867860480267,35.22301557812251
3000,11.0,ירושלים,"שמעון הצדיק,23","שמעון הצדיק,23, ירושלים",31.793629993588496,35.22463997603609
3000,12.0,ירושלים,"שמעון הצדיק,23","שמעון הצדיק,23, ירושלים",31.793629993588496,35.22463997603609
3000,13.0,ירושלים,"שמעון הצדיק,23","שמעון הצדיק,23, ירושלים",31.793629993588496,35.22463997603609
3000,14.1,ירושלים,"שמעון הצדיק,23","שמעון הצדיק,23, ירושלים",31.793629993588496,35.22463997603609
3000,14.2,ירושלים,"שמעון הצדיק,23","שמעון הצדיק,23, ירושלים",31.793629993588496,35.22463997603609
3000,15.1,ירושלים,"דבורה הנביאה,2","דבורה הנביאה,2, ירושלים",31.784350011397322,35.22387998887518
3000,15.2,ירושלים,"דבורה הנביאה,2","דבורה הנביאה,2, ירושלים",31.784350011397322,35.22387998887518
3000,16.1,ירושלים,"הנביאים,42","הנביאים,42, ירושלים",31.784350011397322,35.222520025084975
3000,16.2,ירושלים,"הנביאים,42","הנביאים,42, ירושלים",31.784350011397322,35.222520025084975
3000,17.1,ירושלים,"הנביאים,42","הנביאים,42, ירושלים",31.784350011397322,35.222520025084975
3000,17.2,ירושלים,"הנביאים,42","הנביאים,42, ירושלים",31.784350011397322,35.222520025084975
3000,18.0,ירושלים,"שבטי ישראל,27","שבטי ישראל,27, ירושלים",31.783699994806057,35.224520031001674
3000,19.0,ירושלים,"מגן האלף,3","מגן האלף,3, ירושלים",31.794867860480267,35.22301557812251
