Lat,Long,Title,L,R,C,O,A,M,S
29.534324586000025,34.93856165700004,None,0,0,0,0,0,0,0
29.54673822700005,34.91706060100006,None,0,0,0,0,0,0,0
29.55915186800007,34.93856165700004,None,5766,5653,0,26,372,0,225
29.57156550800005,34.96006271400006,None,878,1250,0,3,104,0,32
29.708115556000052,34.98156377000004,None,0,0,0,0,0,0,0
29.795011041000066,35.00306482700006,None,0,0,0,0,0,0,0
29.83225196400008,35.02456588300004,None,0,0,0,0,0,0,0
29.894320167000046,35.00306482700006,None,0,0,0,0,0,0,0
29.894320167000046,35.04606694000006,None,372,19,0,0,1,0,1
29.93156108900007,35.06756799600004,None,160,23,0,0,0,0,7
29.943974730000036,34.96006271400006,None,0,0,0,0,0,0,0
29.98121565200006,35.06756799600004,None,116,13,0,0,2,0,4
29.993629293000026,35.08906905300006,None,0,0,0,0,0,0,0
30.05569749700004,35.02456588300004,None,0,0,0,0,0,0,0
30.092938419000063,35.13207116500007,None,0,0,0,0,0,0,0
30.353624874000047,35.15357222200004,None,98,20,0,0,0,0,1
30.49017492200005,35.17507327800007,None,0,0,0,0,0,0,0
30.56465676700003,35.17507327800007,None,67,16,0,0,0,0,0
30.601897689000054,34.809555319000026,None,1002,1128,0,2,141,0,53
30.651552252000045,35.23957644800004,None,249,26,0,2,2,0,1
30.775688659000025,35.28257856100004,None,178,56,0,0,0,0,1
30.788102300000048,34.65904792400005,None,0,0,0,0,0,0,0
30.800515940000025,35.23957644800004,None,0,0,0,0,0,0,0
30.81292958100005,35.30407961700007,None,0,0,0,0,0,0,0
30.850170503000072,34.766553206000026,None,0,0,0,0,0,0,0
30.874997785000062,34.422536302000026,None,0,0,0,0,0,0,0
30.86258414400004,34.78805426200006,None,353,44,0,0,4,0,5
30.899825066000062,34.422536302000026,None,0,0,0,0,0,0,0
30.88741142500004,34.83105637500006,None,0,0,0,0,0,0,0
30.91223870700003,34.40103524600005,None,0,0,0,0,0,0,0
30.949479629000052,35.36858278600005,None,0,0,0,0,0,0,0
30.93706598800003,35.39008384300007,None,109,49,0,0,0,0,0
30.961893270000076,34.70205003600006,None,0,0,0,0,0,0,0
30.974306911000042,34.93856165700004,None,253,373,0,0,138,0,19
30.999134192000042,34.766553206000026,None,0,0,0,0,0,0,0
30.986720551000076,34.91706060100006,None,210,301,0,0,203,0,11
30.999134192000042,34.93856165700004,None,459,827,0,4,671,0,27
31.011547833000066,34.70205003600006,None,0,0,0,0,0,0,0
31.011547833000066,34.78805426200006,None,298,17,0,0,3,0,0
31.048788755000032,34.680548980000026,None,0,0,0,0,0,0,0
31.048788755000032,34.723551093000026,None,405,22,0,0,1,0,6
31.073616036000033,34.98156377000004,None,0,0,0,0,0,0,0
31.073616036000033,35.02456588300004,None,3451,5622,0,8,1762,0,176
31.061202396000056,35.04606694000006,None,1219,1725,0,4,536,0,55
31.09844331800008,34.98156377000004,None,202,13,0,97,40,0,10
31.086029677000056,35.04606694000006,None,0,0,0,0,0,0,0
31.110856959000046,34.96006271400006,None,112,62,0,183,23,0,7
31.135684240000046,34.31503102000005,None,0,0,0,0,0,0,0
31.135684240000046,34.91706060100006,None,0,0,0,0,0,0,0
31.14809788100007,35.36858278600005,None,0,0,0,0,0,0,0
31.17292516200007,34.336532076000026,None,0,0,0,0,0,0,0
31.17292516200007,35.02456588300004,None,306,38,0,555,49,0,23
31.160511521000046,35.04606694000006,None,0,0,0,0,0,0,0
31.185338803000036,34.31503102000005,None,0,0,0,0,0,0,0
31.19775244400006,34.336532076000026,None,0,0,0,0,0,0,0
31.19775244400006,34.809555319000026,None,363,167,0,485,28,0,41
31.19775244400006,34.852557432000026,None,108,8,0,63,2,0,8
31.19775244400006,34.93856165700004,None,67,63,0,528,57,0,42
31.210166084000036,34.27202890800004,None,0,0,0,0,0,0,0
31.22257972500006,34.29352996400007,None,58,15,0,0,0,0,3
31.210166084000036,34.31503102000005,None,0,0,0,0,0,0,0
31.22257972500006,34.336532076000026,None,0,0,0,0,0,0,0
31.210166084000036,34.35803313300005,None,0,0,0,0,0,0,0
31.22257972500006,34.422536302000026,None,122,81,0,0,24,0,4
31.22257972500006,34.46553841600007,None,137,3,0,1,0,0,3
31.210166084000036,34.53004158500005,None,195,8,0,0,0,0,4
31.22257972500006,34.766553206000026,None,396,553,0,0,19,0,78
31.210166084000036,34.87405848800006,None,222,65,0,0,24,0,9
31.210166084000036,35.21807539100007,None,26,8,0,55,7,0,5
31.24740700700005,34.336532076000026,None,0,0,0,0,0,0,0
31.234993366000026,34.35803313300005,None,327,3,0,1,2,0,2
31.234993366000026,34.40103524600005,None,109,70,0,0,16,0,5
31.24740700700005,34.422536302000026,None,109,295,0,0,33,0,14
31.234993366000026,34.44403735900005,None,58,50,0,0,4,0,0
31.234993366000026,34.65904792400005,None,0,0,0,0,0,0,0
31.24740700700005,34.723551093000026,None,434,26,0,0,1,0,3
31.24740700700005,34.766553206000026,None,6967,5375,0,20,1155,0,443
31.234993366000026,34.78805426200006,None,2838,2850,0,23,720,0,187
31.24740700700005,34.809555319000026,None,2884,4009,0,20,1119,0,196
31.24740700700005,34.852557432000026,None,117,43,0,881,60,0,92
31.234993366000026,34.87405848800006,None,0,0,0,0,0,0,0
31.24740700700005,35.02456588300004,None,68,43,0,7,38,0,21
31.234993366000026,35.04606694000006,None,0,0,0,0,0,0,0
31.234993366000026,35.08906905300006,None,472,236,0,176,76,0,70
31.24740700700005,35.19657433500004,None,0,0,0,0,0,0,0
31.259820647000026,34.40103524600005,None,101,24,0,0,1,0,0
