Address Name	Booth Number	Settlement Name	Settlement Number
מגן האלף 1	3.1	ירושלים	3000
מגן האלף 1	3.2	ירושלים	3000
מגן האלף 1	3.3	ירושלים	3000
מגן האלף 1	3.4	ירושלים	3000
מגן האלף 1	3.5	ירושלים	3000
מגן האלף 1	3.6	ירושלים	3000
פישל אהרן 29	4.1	ירושלים	3000
פישל אהרן 29	4.2	ירושלים	3000
פישל אהרן 29	4.3	ירושלים	3000
פישל אהרן 29	4.4	ירושלים	3000
שבטי ישראל 27	5.0	ירושלים	3000
נטר 40	7.0	ירושלים	3000
מגן האלף 3	8.1	ירושלים	3000
מגן האלף 3	8.2	ירושלים	3000
מגן האלף 3	8.3	ירושלים	3000
מגן האלף 3	8.4	ירושלים	3000
מגן האלף 3	8.5	ירושלים	3000
מגן האלף 3	8.6	ירושלים	3000
שבטי ישראל 22	15.1	ירושלים	3000
שבטי ישראל 22	15.2	ירושלים	3000
שבטי ישראל 22	15.3	ירושלים	3000
שבטי ישראל 22	15.4	ירושלים	3000
שבטי ישראל 22	15.5	ירושלים	3000
שבטי ישראל 22	15.6	ירושלים	3000
הנביאים 42	17.1	ירושלים	3000
הנביאים 42	17.2	ירושלים	3000
הנביאים 42	17.3	ירושלים	3000
שבטי ישראל 27	18.0	ירושלים	3000
נטר 40	26.0	ירושלים	3000
אהלי יוסף 15	27.1	ירושלים	3000
אהלי יוסף 15	27.2	ירושלים	3000
אהלי יוסף 15	27.3	ירושלים	3000
אהלי יוסף 15	27.4	ירושלים	3000
אהלי יוסף 15	27.5	ירושלים	3000
ירמיהו 5	30.1	ירושלים	3000
ירמיהו 5	30.2	ירושלים	3000
ירמיהו 5	30.3	ירושלים	3000
ירמיהו 5	30.4	ירושלים	3000
ירמיהו 5	30.5	ירושלים	3000
ירמיהו 5	30.6	ירושלים	3000
בובליק גדליה 26	31.1	ירושלים	3000
בובליק גדליה 26	31.2	ירושלים	3000
בובליק גדליה 26	31.3	ירושלים	3000
בובליק גדליה 26	31.4	ירושלים	3000
בובליק גדליה 26	31.5	ירושלים	3000
מן 7	33.1	ירושלים	3000
מן 7	33.2	ירושלים	3000
מן 7	33.3	ירושלים	3000
מן 7	33.4	ירושלים	3000
מן 7	33.5	ירושלים	3000
מן 7	33.6	ירושלים	3000
שמחת כהן 32	35.1	ירושלים	3000
שמחת כהן 32	35.2	ירושלים	3000
שמחת כהן 32	35.3	ירושלים	3000
שמחת כהן 32	35.4	ירושלים	3000
קהילות יעקב 10	37.1	ירושלים	3000
קהילות יעקב 10	37.2	ירושלים	3000
קהילות יעקב 10	37.3	ירושלים	3000
קהילות יעקב 10	37.4	ירושלים	3000
קהילות יעקב 10	37.5	ירושלים	3000
ילין דוד 41	43.1	ירושלים	3000
ילין דוד 41	43.2	ירושלים	3000
ילין דוד 41	43.3	ירושלים	3000
ילין דוד 41	43.4	ירושלים	3000
מלכי ישראל 75	44.1	ירושלים	3000
מלכי ישראל 75	44.2	ירושלים	3000
מלכי ישראל 75	44.3	ירושלים	3000
מלכי ישראל 75	44.4	ירושלים	3000
הטורים 23	53.1	ירושלים	3000
הטורים 23	53.2	ירושלים	3000
הטורים 23	53.3	ירושלים	3000
הטורים 23	53.4	ירושלים	3000
עזרת תורה 45	62.1	ירושלים	3000
עזרת תורה 45	62.2	ירושלים	3000
עזרת תורה 45	62.3	ירושלים	3000
עזרת תורה 45	62.4	ירושלים	3000
עזרת תורה 45	62.5	ירושלים	3000
עזרת תורה 45	62.6	ירושלים	3000
סורוצקין 40	66.1	ירושלים	3000
סורוצקין 40	66.2	ירושלים	3000
סורוצקין 40	66.3	ירושלים	3000
סורוצקין 40	66.4	ירושלים	3000
סורוצקין 40	66.5	ירושלים	3000
סורוצקין 40	66.6	ירושלים	3000
ראשון לציון 7	68.1	ירושלים	3000
ראשון לציון 7	68.2	ירושלים	3000
ראשון לציון 7	68.3	ירושלים	3000
ראשון לציון 7	68.4	ירושלים	3000
ראשון לציון 7	68.5	ירושלים	3000
המעיין 2	69.0	ירושלים	3000
אביגדורי 4	81.1	ירושלים	3000
אביגדורי 4	81.2	ירושלים	3000
אביגדורי 4	81.3	ירושלים	3000
אביגדורי 4	81.4	ירושלים	3000
אביגדורי 4	81.5	ירושלים	3000
הלל 30	83.1	ירושלים	3000
הלל 30	83.2	ירושלים	3000
הלל 30	83.3	ירושלים	3000
הלל 17	84.1	ירושלים	3000
הלל 17	84.2	ירושלים	3000
הלל 17	84.3	ירושלים	3000
