Settlement Number,Booth Number,Settlement Name,Address Name
3000,3.1,ירושלים,"מגן האלף,1"
3000,3.2,ירושלים,"מגן האלף,1"
3000,3.3,ירושלים,"מגן האלף,1"
3000,3.4,ירושלים,"מגן האלף,1"
3000,3.5,ירושלים,"מגן האלף,1"
3000,3.6,ירושלים,"מגן האלף,1"
3000,4.1,ירושלים,"פישל אהרן,29"
3000,4.2,ירושלים,"פישל אהרן,29"
3000,4.3,ירושלים,"פישל אהרן,29"
3000,4.4,ירושלים,"פישל אהרן,29"
3000,5.0,ירושלים,"שבטי ישראל,27"
3000,7.0,ירושלים,"נטר,40"
3000,8.1,ירושלים,"מגן האלף,3"
3000,8.2,ירושלים,"מגן האלף,3"
3000,8.3,ירושלים,"מגן האלף,3"
3000,8.4,ירושלים,"מגן האלף,3"
3000,8.5,ירושלים,"מגן האלף,3"
3000,8.6,ירושלים,"מגן האלף,3"
3000,15.1,ירושלים,"שבטי ישראל,22"
3000,15.2,ירושלים,"שבטי ישראל,22"
3000,15.3,ירושלים,"שבטי ישראל,22"
3000,15.4,ירושלים,"שבטי ישראל,22"
3000,15.5,ירושלים,"שבטי ישראל,22"
3000,15.6,ירושלים,"שבטי ישראל,22"
3000,17.1,ירושלים,"הנביאים,42"
3000,17.2,ירושלים,"הנביאים,42"
3000,17.3,ירושלים,"הנביאים,42"
3000,18.0,ירושלים,"שבטי ישראל,27"
3000,26.0,ירושלים,"נטר,40"
3000,27.1,ירושלים,"אהלי יוסף,15"
3000,27.2,ירושלים,"אהלי יוסף,15"
3000,27.3,ירושלים,"אהלי יוסף,15"
3000,27.4,ירושלים,"אהלי יוסף,15"
3000,27.5,ירושלים,"אהלי יוסף,15"
3000,30.1,ירושלים,"ירמיהו,5"
3000,30.2,ירושלים,"ירמיהו,5"
3000,30.3,ירושלים,"ירמיהו,5"
3000,30.4,ירושלים,"ירמיהו,5"
3000,30.5,ירושלים,"ירמיהו,5"
3000,30.6,ירושלים,"ירמיהו,5"
3000,31.1,ירושלים,"בובליק גדליה,26"
3000,31.2,ירושלים,"בובליק גדליה,26"
3000,31.3,ירושלים,"בובליק גדליה,26"
3000,31.4,ירושלים,"בובליק גדליה,26"
3000,31.5,ירושלים,"בובליק גדליה,26"
3000,33.1,ירושלים,"מן,7"
3000,33.2,ירושלים,"מן,7"
3000,33.3,ירושלים,"מן,7"
3000,33.4,ירושלים,"מן,7"
3000,33.5,ירושלים,"מן,7"
3000,33.6,ירושלים,"מן,7"
3000,35.1,ירושלים,"שמחת כהן,32"
3000,35.2,ירושלים,"שמחת כהן,32"
3000,35.3,ירושלים,"שמחת כהן,32"
3000,35.4,ירושלים,"שמחת כהן,32"
3000,37.1,ירושלים,"קהילות יעקב,10"
3000,37.2,ירושלים,"קהילות יעקב,10"
3000,37.3,ירושלים,"קהילות יעקב,10"
3000,37.4,ירושלים,"קהילות יעקב,10"
3000,37.5,ירושלים,"קהילות יעקב,10"
3000,43.1,ירושלים,"ילין דוד,41"
3000,43.2,ירושלים,"ילין דוד,41"
3000,43.3,ירושלים,"ילין דוד,41"
3000,43.4,ירושלים,"ילין דוד,41"
3000,44.1,ירושלים,"מלכי ישראל,75"
3000,44.2,ירושלים,"מלכי ישראל,75"
3000,44.3,ירושלים,"מלכי ישראל,75"
3000,44.4,ירושלים,"מלכי ישראל,75"
3000,53.1,ירושלים,"הטורים,23"
3000,53.2,ירושלים,"הטורים,23"
3000,53.3,ירושלים,"הטורים,23"
3000,53.4,ירושלים,"הטורים,23"
3000,62.1,ירושלים,"עזרת תורה,45"
3000,62.2,ירושלים,"עזרת תורה,45"
3000,62.3,ירושלים,"עזרת תורה,45"
3000,62.4,ירושלים,"עזרת תורה,45"
3000,62.5,ירושלים,"עזרת תורה,45"
3000,62.6,ירושלים,"עזרת תורה,45"
3000,66.1,ירושלים,"סורוצקין,40"
3000,66.2,ירושלים,"סורוצקין,40"
3000,66.3,ירושלים,"סורוצקין,40"
3000,66.4,ירושלים,"סורוצקין,40"
3000,66.5,ירושלים,"סורוצקין,40"
3000,66.6,ירושלים,"סורוצקין,40"
3000,68.1,ירושלים,"ראשון לציון,7"
3000,68.2,ירושלים,"ראשון לציון,7"
3000,68.3,ירושלים,"ראשון לציון,7"
3000,68.4,ירושלים,"ראשון לציון,7"
3000,68.5,ירושלים,"ראשון לציון,7"
3000,69.0,ירושלים,"המעיין,2"
3000,81.1,ירושלים,"אביגדורי,4"
3000,81.2,ירושלים,"אביגדורי,4"
3000,81.3,ירושלים,"אביגדורי,4"
3000,81.4,ירושלים,"אביגדורי,4"
3000,81.5,ירושלים,"אביגדורי,4"
3000,83.1,ירושלים,"הלל,30"
3000,83.2,ירושלים,"הלל,30"
3000,83.3,ירושלים,"הלל,30"
3000,84.1,ירושלים,"הלל,17"
3000,84.2,ירושלים,"הלל,17"
3000,84.3,ירושלים,"הלל,17"
3000,84.4,ירושלים,"הלל,17"
3000,85.0,ירושלים,"נרקיס,11"
3000,87.1,ירושלים,"הקרן הקיימת,14"
3000,87.2,ירושלים,"הקרן הקיימת,14"
3000,87.3,ירושלים,"הקרן הקיימת,14"
3000,89.1,ירושלים,"רבי עקיבא,7"
3000,89.2,ירושלים,"רבי עקיבא,7"
3000,89.3,ירושלים,"רבי עקיבא,7"
3000,89.4,ירושלים,"רבי עקיבא,7"
3000,120.1,ירושלים,"שמעון הצדיק,23"
3000,120.2,ירושלים,"שמעון הצדיק,23"
3000,120.3,ירושלים,"שמעון הצדיק,23"
3000,120.4,ירושלים,"שמעון הצדיק,23"
3000,120.5,ירושלים,"שמעון הצדיק,23"
