Settlement Number,Booth Number,Address Name,Settlement Name
3000,111.0,"שבטי ישראל,22",ירושלים
3000,112.0,"שמעון הצדיק,23",ירושלים
3000,113.0,"נטר,40",ירושלים
3000,114.0,"מנחם מנדל משקלוב,24",ירושלים
3000,115.0,"שמואל הנביא,85",ירושלים
3000,116.0,"שמואל הנביא,85",ירושלים
3000,117.0,"שמואל הנביא,85",ירושלים
3000,118.0,"שמואל הנביא,85",ירושלים
3000,119.0,"שמואל הנביא,85",ירושלים
3000,120.0,"מנחם מנדל משקלוב,24",ירושלים
3000,121.0,"אצ""ל,20",ירושלים
3000,122.0,"אצ""ל,20",ירושלים
3000,123.0,"אצ""ל,20",ירושלים
3000,124.0,"אצ""ל,20",ירושלים
3000,125.0,"פארן,10",ירושלים
3000,126.0,"נטר,1",ירושלים
3000,127.0,"נטר,1",ירושלים
3000,128.0,"נטר,1",ירושלים
3000,129.0,"נטר,1",ירושלים
3000,130.0,"דבורה הנביאה,2",ירושלים
3000,131.0,"נטר,1",ירושלים
3000,132.0,"הלל,30",ירושלים
3000,133.0,"הלל,30",ירושלים
3000,134.0,"הלל,30",ירושלים
3000,135.0,"הלל,17",ירושלים
3000,136.0,"הלל,17",ירושלים
3000,137.0,"הלל,17",ירושלים
3000,138.0,"הלל,17",ירושלים
3000,139.0,"נרקיס,11",ירושלים
3000,140.0,"הקרן הקיימת,14",ירושלים
3000,141.0,"הקרן הקיימת,14",ירושלים
3000,142.0,"הקרן הקיימת,14",ירושלים
3000,143.0,"רבי עקיבא,7",ירושלים
3000,144.0,"רבי עקיבא,7",ירושלים
3000,145.0,"רבי עקיבא,7",ירושלים
3000,146.0,"רבי עקיבא,7",ירושלים
3000,147.0,"בן לברט,15",ירושלים
3000,148.0,"בן לברט,15",ירושלים
3000,149.0,"בן לברט,15",ירושלים
3000,150.0,"בן לברט,15",ירושלים
3000,151.0,"בן לברט,15",ירושלים
3000,152.0,"אוסישקין,38",ירושלים
3000,153.0,"אוסישקין,38",ירושלים
3000,154.0,"אוסישקין,38",ירושלים
3000,155.0,"אוסישקין,38",ירושלים
3000,156.0,"הרב והרבנית קאפח,20",ירושלים
3000,157.0,"הרב והרבנית קאפח,20",ירושלים
3000,158.0,"הרב והרבנית קאפח,20",ירושלים
3000,159.0,"נרקיס,11",ירושלים
3000,160.0,"הרב והרבנית קאפח,20",ירושלים
3000,161.0,"אהל משה,42",ירושלים
3000,162.0,"אהל משה,42",ירושלים
3000,163.0,"אלוף שאלתיאל,1",ירושלים
3000,164.0,"אלוף שאלתיאל,1",ירושלים
3000,165.0,"אלוף שאלתיאל,1",ירושלים
3000,166.0,"אלוף שאלתיאל,1",ירושלים
3000,167.0,"שיריזלי,6",ירושלים
3000,168.0,"אהל משה,42",ירושלים
3000,169.0,"אהל משה,42",ירושלים
3000,170.0,"בן לברט,15",ירושלים
3000,171.0,"בן לברט,15",ירושלים
3000,172.0,"בן לברט,15",ירושלים
3000,173.0,"בן לברט,15",ירושלים
3000,174.0,"בן לברט,15",ירושלים
3000,175.0,"מעלות כיסופים,5",ירושלים
3000,176.0,בתי מחסה,ירושלים
3000,177.0,"גריק פטריאכט,26",ירושלים
3000,178.0,"גריק פטריאכט,26",ירושלים
3000,179.0,"גריק פטריאכט,26",ירושלים
3000,180.0,"גריק פטריאכט,26",ירושלים
3000,181.0,בתי מחסה,ירושלים
3000,182.0,בתי מחסה,ירושלים
3000,183.0,"מעוז,1",ירושלים
3000,184.0,"בובליק גדליה,26",ירושלים
3000,185.0,"מעוז,1",ירושלים
3000,186.0,"מעוז,1",ירושלים
3000,187.0,"מעוז,1",ירושלים
3000,188.0,"בובליק גדליה,26",ירושלים
3000,189.0,"מעלות כיסופים,5",ירושלים
3000,190.0,"בובליק גדליה,26",ירושלים
3000,191.0,"בובליק גדליה,26",ירושלים
3000,192.0,"מעוז,1",ירושלים
3000,193.0,"מעלות כיסופים,5",ירושלים
3000,194.0,"מעלות כיסופים,5",ירושלים
3000,195.0,"קהילות יעקב,15",ירושלים
3000,196.0,"קהילות יעקב,15",ירושלים
3000,197.0,"קהילות יעקב,10",ירושלים
3000,198.0,אגרות משה,ירושלים
3000,199.0,"חזון איש,62",ירושלים
3000,200.0,"קהילות יעקב,15",ירושלים
3000,201.0,"הרב קלכהיים עוזי,1",ירושלים
3000,202.0,אגרות משה,ירושלים
3000,203.0,אגרות משה,ירושלים
3000,204.0,"חזון איש,62",ירושלים
3000,205.0,"חזון איש,62",ירושלים
3000,206.0,"קהילות יעקב,10",ירושלים
3000,207.0,"קהילות יעקב,10",ירושלים
3000,208.0,בתי מחסה,ירושלים
3000,209.0,"הרב קלכהיים עוזי,1",ירושלים
3000,210.0,"מינץ,45",ירושלים
3000,211.0,"מירסקי יצחק,10",ירושלים
3000,212.0,"הרואה,21",ירושלים
3000,213.0,"צונדק,26",ירושלים
3000,214.0,"אידלזון אברהם,30",ירושלים
3000,215.0,"אידלזון אברהם,30",ירושלים
3000,216.0,"צונדק,1",ירושלים
3000,217.0,"צונדק,1",ירושלים
3000,218.0,"צונדק,1",ירושלים
3000,219.0,"צונדק,1",ירושלים
3000,220.0,"צונדק,26",ירושלים
3000,221.0,"אסירי ציון,2",ירושלים
3000,222.0,"אסירי ציון,2",ירושלים
3000,223.0,"אסירי ציון,2",ירושלים
3000,224.0,"אסירי ציון,2",ירושלים
3000,225.0,"אסירי ציון,2",ירושלים
3000,226.0,"אידלזון אברהם,30",ירושלים
3000,227.0,"רקנטי אברהם,6",ירושלים
3000,228.0,"אידלזון אברהם,30",ירושלים
3000,229.0,"הרואה,21",ירושלים
3000,230.0,"מירסקי יצחק,10",ירושלים
3000,231.0,"מירסקי יצחק,10",ירושלים
3000,232.0,"אידלזון אברהם,30",ירושלים
3000,233.0,"שד גולדה מאיר,474",ירושלים
3000,234.0,"מירסקי יצחק,10",ירושלים
3000,235.0,"מינץ,45",ירושלים
3000,236.0,"מינץ,45",ירושלים
3000,237.0,"רקנטי אברהם,345",ירושלים
3000,238.0,"רקנטי אברהם,345",ירושלים
3000,239.0,"אידלזון אברהם,30",ירושלים
3000,240.0,"רקנטי אברהם,6",ירושלים
3000,241.0,"מינץ,45",ירושלים
3000,242.0,"מירסקי יצחק,10",ירושלים
3000,243.0,"אהלי יוסף,15",ירושלים
3000,244.0,"אהלי יוסף,15",ירושלים
3000,245.0,"ירמיהו,5",ירושלים
3000,246.0,"ירמיהו,5",ירושלים
3000,247.0,"ירמיהו,5",ירושלים
3000,248.0,"ירמיהו,5",ירושלים
3000,249.0,"ירמיהו,5",ירושלים
3000,250.0,"אהלי יוסף,15",ירושלים
3000,251.0,"עזרת תורה,45",ירושלים
3000,252.0,"עזרת תורה,45",ירושלים
3000,253.0,"עזרת תורה,45",ירושלים
3000,254.0,"עזרת תורה,45",ירושלים
3000,255.0,"שפע חיים,1",ירושלים
3000,256.0,"סורוצקין,40",ירושלים
3000,257.0,"סורוצקין,40",ירושלים
3000,258.0,"סורוצקין,40",ירושלים
3000,259.0,"סורוצקין,40",ירושלים
3000,260.0,"סורוצקין,40",ירושלים
3000,261.0,"סורוצקין,40",ירושלים
3000,262.0,"סורוצקין,40",ירושלים
3000,263.0,"סורוצקין,40",ירושלים
3000,264.0,"עזרת תורה,45",ירושלים
3000,265.0,"ראשון לציון,7",ירושלים
3000,266.0,"זכרון יעקב,5",ירושלים
3000,267.0,"שחר,19",ירושלים
3000,268.0,"אהלי יוסף,15",ירושלים
3000,269.0,"בן ציון,24",ירושלים
3000,270.0,"זכרון יעקב,3",ירושלים
3000,271.0,"ראשון לציון,7",ירושלים
3000,272.0,"בן ציון,24",ירושלים
3000,273.0,"זכרון יעקב,5",ירושלים
3000,274.0,"המ""ג,1",ירושלים
3000,275.0,"ראשון לציון,7",ירושלים
3000,276.0,"זכרון יעקב,3",ירושלים
3000,277.0,"המ""ג,1",ירושלים
3000,278.0,"ראשון לציון,7",ירושלים
3000,279.0,"נג'ארה,27",ירושלים
3000,280.0,"נג'ארה,27",ירושלים
3000,281.0,"זכרון יעקב,3",ירושלים
3000,282.0,"בן ציון,24",ירושלים
3000,283.0,"שחר,19",ירושלים
3000,284.0,"שחר,19",ירושלים
3000,285.0,"נג'ארה,27",ירושלים
3000,286.0,"ראשון לציון,7",ירושלים
3000,287.0,"אהלי יוסף,15",ירושלים
3000,288.0,"מגן האלף,1",ירושלים
3000,289.0,"פישל אהרן,29",ירושלים
3000,290.0,"מגן האלף,1",ירושלים
3000,291.0,"מגן האלף,3",ירושלים
3000,292.0,"פישל אהרן,29",ירושלים
3000,293.0,"מגן האלף,3",ירושלים
3000,294.0,"מגן האלף,3",ירושלים
3000,295.0,"מגן האלף,3",ירושלים
3000,296.0,"מגן האלף,3",ירושלים
3000,297.0,"מגן האלף,1",ירושלים
3000,298.0,"מגן האלף,1",ירושלים
3000,299.0,"הטורים,23",ירושלים
3000,300.0,"מלכי ישראל,57",ירושלים
3000,301.0,"מלכי ישראל,57",ירושלים
3000,302.0,"מלכי ישראל,57",ירושלים
3000,303.0,"פישל אהרן,29",ירושלים
3000,304.0,"פישל אהרן,29",ירושלים
3000,305.0,"הטורים,23",ירושלים
3000,306.0,"ילין דוד,41",ירושלים
3000,307.0,"הטורים,23",ירושלים
3000,308.0,"מלכי ישראל,57",ירושלים
3000,309.0,"מלכי ישראל,57",ירושלים
3000,310.0,"ישעיהו,7",ירושלים
3000,311.0,"מלכי ישראל,57",ירושלים
3000,312.0,"ישעיהו,7",ירושלים
3000,313.0,"ישעיהו,7",ירושלים
3000,314.0,"ישעיהו,7",ירושלים
3000,315.0,"ילין דוד,41",ירושלים
3000,316.0,"ישעיהו,7",ירושלים
3000,317.0,"בזל,3",ירושלים
3000,318.0,"בזל,3",ירושלים
3000,319.0,"ויטל חיים,32",ירושלים
3000,320.0,"ויטל חיים,32",ירושלים
3000,321.0,"ויטל חיים,32",ירושלים
3000,322.0,"ויטל חיים,32",ירושלים
3000,323.0,"בן ציון,7",ירושלים
3000,324.0,"בן ציון,7",ירושלים
3000,325.0,"בן ציון,7",ירושלים
3000,326.0,"בזל,3",ירושלים
3000,327.0,"בזל,3",ירושלים
3000,328.0,"בזל,3",ירושלים
3000,329.0,"בן ציון,7",ירושלים
3000,330.0,"מגן האלף,1",ירושלים
3000,331.0,"הטורים,23",ירושלים
3000,332.0,"ויטל חיים,32",ירושלים
3000,333.0,"הרב אבן דנן,30",ירושלים
3000,334.0,"החלוץ,47",ירושלים
3000,335.0,"החלוץ,47",ירושלים
3000,336.0,"החלוץ,47",ירושלים
3000,337.0,"החלוץ,47",ירושלים
3000,338.0,"הקבלן,8",ירושלים
3000,339.0,"הקבלן,8",ירושלים
3000,340.0,"הקבלן,8",ירושלים
3000,341.0,"הקבלן,8",ירושלים
3000,342.0,"הקבלן,8",ירושלים
3000,343.0,"הקבלן,8",ירושלים
3000,344.0,"הקבלן,8",ירושלים
3000,345.0,"הקבלן,8",ירושלים
3000,346.0,"הרב טייב חי,46",ירושלים
3000,347.0,"הרב אבן דנן,30",ירושלים
3000,348.0,"הרב אבן דנן,30",ירושלים
3000,349.0,"הרב טייב חי,46",ירושלים
3000,350.0,"הרב אבן דנן,30",ירושלים
3000,351.0,"הרב אבן דנן,30",ירושלים
3000,352.0,"הרב טייב חי,46",ירושלים
3000,353.0,"הרב טייב חי,46",ירושלים
3000,354.0,"התומר,5",ירושלים
3000,355.0,"התומר,5",ירושלים
3000,356.0,"התומר,5",ירושלים
3000,357.0,"התומר,5",ירושלים
3000,358.0,"תורה ועבודה,6",ירושלים
3000,359.0,"שחראי,24",ירושלים
3000,360.0,"שד הרצל,137",ירושלים
3000,361.0,"שד הרצל,137",ירושלים
3000,362.0,"שד הרצל,137",ירושלים
