L,R,C,A,O,S,M,Total,Highest,Lat,Long
0,0,0,0,0,0,0,0,L,29.539399890000027,34.95053524300005
892,7232,4000,79,805,0,75,13083,R,29.551811118000046,34.92903836500005
560,5598,2440,97,841,0,96,9632,R,29.564222346000065,34.95053524300005
59,18,85,1,0,0,1,164,C,29.576633574000027,34.97203212000005
69,155,179,3,8,0,3,417,C,29.713157082000066,34.993528998000045
19,11,38,0,0,0,0,68,C,29.80003567800003,35.01502587500005
79,4,60,4,0,0,1,148,L,29.824858134000067,35.01502587500005
26,12,31,0,0,0,0,69,C,29.91173673000003,34.993528998000045
169,23,214,3,2,0,3,414,C,29.899325502000067,35.05801963000005
5,14,49,0,3,0,0,71,C,29.93655918500008,34.95053524300005
58,17,100,1,1,0,0,177,C,29.94897041300004,35.05801963000005
96,23,107,3,1,0,3,233,C,29.97379286900008,35.05801963000005
37,9,41,1,0,0,2,90,C,29.98620409700004,35.07951650800004
71,22,64,1,1,0,0,159,L,30.04826023700008,35.01502587500005
33,26,63,1,1,0,4,128,C,30.08549392100008,35.12251026300004
64,19,171,0,0,0,6,260,C,30.358540937000043,35.165504018000036
49,14,65,2,0,0,0,130,C,30.482653217000063,35.165504018000036
35,20,163,1,0,0,27,246,C,30.569531813000026,35.18700089500004
249,948,225,35,174,0,18,1649,R,30.594354269000064,34.80005710100005
105,222,83,5,9,0,2,426,R,30.619176725000045,34.80005710100005
81,26,274,4,0,0,15,400,C,30.656410409000046,35.25149152700004
56,64,216,0,3,0,34,373,C,30.768111461000046,35.272988405000035
11,33,41,0,0,0,0,85,C,30.792933917000028,34.67107583600006
0,0,0,0,0,0,0,0,L,30.805345145000047,35.25149152700004
45,22,89,0,0,0,23,179,C,30.805345145000047,35.29448528200004
359,126,317,4,2,0,5,813,L,30.854990057000066,34.778560223000056
113,19,134,1,0,0,3,270,C,30.867401285000028,34.80005710100005
3,136,4,0,12,0,2,157,R,30.879812513000047,34.821553978000054
23,33,54,0,1,0,10,121,C,30.90463496900003,34.39161642800008
8,33,35,4,0,0,3,83,C,30.892223741000066,34.41311330600007
48,43,76,0,0,0,10,177,C,30.90463496900003,34.434610183000075
37,26,78,0,1,0,7,149,C,30.929457425000066,35.380472792000035
