L,R,C,A,O,S,M,Total,Highest,Lat,Long
0,0,0,0,0,0,0,0,L,29.539399890000027,34.95053524300005
507,7803,3930,101,784,0,99,13224,R,29.551811118000046,34.92903836500005
344,5780,2233,136,823,0,94,9410,R,29.564222346000065,34.95053524300005
53,20,88,3,0,0,0,164,C,29.576633574000027,34.97203212000005
34,189,197,6,18,0,1,445,C,29.713157082000066,34.993528998000045
8,16,49,0,0,0,0,73,C,29.80003567800003,35.01502587500005
75,5,62,5,0,0,0,147,L,29.824858134000067,35.01502587500005
22,12,33,0,0,0,1,68,C,29.91173673000003,34.993528998000045
162,40,226,5,2,0,1,436,C,29.899325502000067,35.05801963000005
2,18,51,0,2,0,1,74,C,29.93655918500008,34.95053524300005
35,24,108,1,0,0,1,169,C,29.94897041300004,35.05801963000005
83,32,98,10,1,0,1,225,C,29.97379286900008,35.05801963000005
41,12,31,2,1,0,0,87,L,29.98620409700004,35.07951650800004
0,0,0,0,0,0,0,0,L,30.03584900900006,35.03652275300004
28,18,101,1,1,0,0,149,C,30.04826023700008,35.01502587500005
28,22,64,1,0,0,5,120,C,30.08549392100008,35.12251026300004
40,23,195,1,0,0,0,259,C,30.358540937000043,35.165504018000036
32,19,84,2,0,0,1,138,C,30.482653217000063,35.165504018000036
35,39,190,3,0,0,0,267,C,30.569531813000026,35.18700089500004
207,970,241,39,188,0,25,1670,R,30.594354269000064,34.80005710100005
74,226,108,9,16,0,6,439,R,30.619176725000045,34.80005710100005
46,33,301,6,0,0,0,386,C,30.656410409000046,35.25149152700004
45,67,274,0,2,0,3,391,C,30.768111461000046,35.272988405000035
10,41,43,0,2,0,0,96,C,30.792933917000028,34.67107583600006
0,0,0,0,0,0,0,0,L,30.805345145000047,35.25149152700004
28,33,110,0,0,0,0,171,C,30.805345145000047,35.29448528200004
276,117,389,14,1,0,5,802,C,30.854990057000066,34.778560223000056
94,19,164,1,0,0,1,279,C,30.867401285000028,34.80005710100005
2,149,8,0,13,0,4,176,R,30.879812513000047,34.821553978000054
22,47,60,0,0,0,0,129,C,30.90463496900003,34.39161642800008
6,28,25,5,1,0,0,65,R,30.892223741000066,34.41311330600007
40,49,75,3,1,0,1,169,C,30.90463496900003,34.434610183000075
29,27,79,0,0,0,0,135,C,30.929457425000066,35.380472792000035
40,122,127,2,6,0,2,299,C,30.954279881000048,34.69257271300006
4,35,55,0,0,0,1,95,C,30.954279881000048,35.380472792000035
38,70,123,0,2,0,0,233,C,30.991513565000048,34.75706334600005
100,38,150,2,2,0,4,296,C,31.003924793000067,34.778560223000056
