L,R,C,A,O,S,M,Total,Highest,Lat,Long
0,0,0,0,0,0,0,0,L,29.539399890000027,34.95053524300005
614,7288,4613,47,484,0,134,13180,R,29.551811118000046,34.92903836500005
464,5745,2590,67,549,0,88,9503,R,29.564222346000065,34.95053524300005
60,19,84,0,0,0,1,164,C,29.576633574000027,34.97203212000005
58,150,194,2,7,0,3,414,C,29.713157082000066,34.993528998000045
18,16,39,0,0,0,0,73,C,29.80003567800003,35.01502587500005
86,1,55,3,0,0,3,148,L,29.824858134000067,35.01502587500005
18,11,46,0,0,0,0,75,C,29.91173673000003,34.993528998000045
175,25,215,2,2,0,1,420,C,29.899325502000067,35.05801963000005
6,17,55,0,2,0,3,83,C,29.93655918500008,34.95053524300005
34,14,130,1,0,0,0,179,C,29.94897041300004,35.05801963000005
92,23,119,2,1,0,2,239,C,29.97379286900008,35.05801963000005
37,14,40,1,0,0,0,92,C,29.98620409700004,35.07951650800004
0,0,0,0,0,0,0,0,L,30.03584900900006,35.03652275300004
37,19,94,0,0,0,0,150,C,30.04826023700008,35.01502587500005
28,24,63,1,0,0,1,117,C,30.08549392100008,35.12251026300004
54,18,202,0,0,0,1,275,C,30.358540937000043,35.165504018000036
36,14,84,2,0,0,1,137,C,30.482653217000063,35.165504018000036
46,19,190,0,0,0,0,255,C,30.569531813000026,35.18700089500004
199,1086,316,22,53,0,13,1689,R,30.594354269000064,34.80005710100005
77,212,117,1,7,0,2,416,R,30.619176725000045,34.80005710100005
80,27,287,3,0,0,1,398,C,30.656410409000046,35.25149152700004
61,69,265,0,4,0,4,403,C,30.768111461000046,35.272988405000035
6,32,67,0,2,0,2,109,C,30.792933917000028,34.67107583600006
0,0,0,0,0,0,0,0,L,30.805345145000047,35.25149152700004
43,26,119,0,0,0,1,189,C,30.805345145000047,35.29448528200004
351,117,385,5,0,0,4,862,C,30.854990057000066,34.778560223000056
99,12,169,2,0,0,2,284,C,30.867401285000028,34.80005710100005
1,151,8,0,6,0,0,166,R,30.879812513000047,34.821553978000054
16,36,89,0,0,0,2,143,C,30.90463496900003,34.39161642800008
9,25,40,3,0,0,1,78,C,30.892223741000066,34.41311330600007
40,40,92,0,0,0,3,175,C,30.90463496900003,34.434610183000075
31,25,91,0,0,0,0,147,C,30.929457425000066,35.380472792000035
45,101,141,0,1,0,3,291,C,30.954279881000048,34.69257271300006
5,37,52,0,0,0,0,94,C,30.954279881000048,35.380472792000035
34,50,139,0,2,0,0,225,C,30.991513565000048,34.75706334600005
107,39,163,0,1,0,0,310,C,31.003924793000067,34.778560223000056
130,2934,827,36,786,0,40,4753,R,30.991513565000048,34.92903836500005
9,9,19,640,1,0,6,684,A,31.01633602100003,34.714069591000055
7,134,37,0,1,0,0,179,R,31.05356970500003,34.69257271300006
188,48,197,4,1,0,2,440,C,31.041158477000067,34.714069591000055
2,25,1,0,1548,0,3,1579,O,31.041158477000067,34.84305085600005
72,2342,594,16,323,0,28,3375,R,31.05356970500003,35.03652275300004
40,974,207,2,140,0,15,1378,R,31.06598093300005,35.01502587500005
239,8411,2031,12,1033,0,109,11835,R,31.078392161000068,35.03652275300004
45,20,171,573,4,0,25,838,A,31.10321461700005,34.95053524300005
41,7,34,883,7,0,51,1023,A,31.09080338900003,34.97203212000005
1,242,1,0,7,0,0,251,R,31.14044830100005,34.327125796000075
5,5,5,365,1,0,5,386,A,31.152859529000068,34.90754148800005
14,12,9,737,1,0,4,777,A,31.152859529000068,35.03652275300004
3,12,6,0,1,0,0,22,R,31.14044830100005,35.35897591500003
0,255,0,0,18,0,0,273,R,31.16527075700003,34.327125796000075
61,57,73,3524,74,0,27,3816,A,31.16527075700003,35.01502587500005
47,133,121,0,7,0,3,311,R,31.19009321300007,34.327125796000075
36,42,94,0,1,0,1,174,C,31.19009321300007,34.37011955100007
105,41,145,2,1,0,2,296,C,31.20250444100003,34.52059769300007
32,11,22,2828,9,0,34,2936,A,31.20250444100003,34.821553978000054
37,18,40,1888,1,0,15,1999,A,31.19009321300007,34.84305085600005
31,12,17,849,4,0,30,943,A,31.19009321300007,34.92903836500005
0,90,0,0,4,0,0,94,R,31.21491566900005,34.28413204100008
44,173,204,0,2,0,1,424,C,31.21491566900005,34.327125796000075
233,70,191,5,0,0,0,499,L,31.22732689700007,34.34862267400007
48,334,246,1,25,0,7,661,R,31.22732689700007,34.434610183000075
89,36,74,1,0,0,0,200,L,31.21491566900005,34.45610706100007
10,66,83,0,1,0,1,161,C,31.22732689700007,34.64957895800006
749,12219,4759,56,846,0,150,18779,R,31.22732689700007,34.778560223000056
35,230,278,1,11,0,4,559,C,31.21491566900005,34.886044611000045
0,0,0,0,0,0,0,0,L,31.22732689700007,35.03652275300004
15,1,7,330,0,0,5,358,A,31.22732689700007,35.07951650800004
23,2,11,122,21,0,10,189,A,31.22732689700007,35.208497772000044
15,35,17,0,0,0,0,67,R,31.23973812500003,34.28413204100008
51,40,117,1,0,0,2,211,C,31.23973812500003,34.327125796000075
35,82,81,0,0,0,3,201,R,31.25214935300005,34.39161642800008
75,266,202,0,36,0,3,582,R,31.23973812500003,34.41311330600007
204,28,375,1,1,0,3,612,C,31.23973812500003,34.714069591000055
195,4015,1750,12,407,0,29,6408,R,31.23973812500003,34.75706334600005
995,14749,5056,63,1715,0,254,22832,R,31.25214935300005,34.778560223000056
269,3835,1500,56,421,0,53,6134,R,31.23973812500003,34.80005710100005
12,162,37,2,17,0,3,233,R,31.25214935300005,34.821553978000054
156,65,137,3502,30,0,67,3957,A,31.25214935300005,34.86454773300005
19,9,71,324,14,0,18,455,A,31.25214935300005,34.95053524300005
