L,R,C,A,O,S,M,Total,Highest,Lat,Long
3,28,10,0,77,0,0,118,O,31.636897420000025,35.14400714000004
6,316,5,0,129,79,10,545,R,31.649308648000044,35.25149152700004
3501,3223,291,15,2163,655,320,10168,L,31.674131104000026,34.56359144800007
1571,3741,154,21,3148,2768,565,11968,R,31.661719876000063,34.58508832600006
38,24,4,0,1,6,0,73,L,31.674131104000026,34.606585203000066
72,316,18,0,367,7,13,793,O,31.661719876000063,34.62808208100006
90,122,16,0,47,18,13,306,R,31.674131104000026,34.64957895800006
332,8,8,0,3,11,0,362,L,31.661719876000063,34.67107583600006
110,32,10,1,14,0,3,170,L,31.661719876000063,34.714069591000055
0,3,0,0,117,0,0,120,O,31.674131104000026,34.73556646800006
190,153,24,0,144,4,4,519,L,31.661719876000063,34.75706334600005
117,53,7,0,18,0,1,196,L,31.674131104000026,34.778560223000056
44,42,8,0,122,0,0,216,O,31.661719876000063,34.80005710100005
59,56,0,0,18,0,3,136,L,31.674131104000026,34.95053524300005
0,72,0,0,48,0,2,122,R,31.661719876000063,35.101013385000044
7,21,5,1,84,0,0,118,O,31.674131104000026,35.12251026300004
36,584,144,0,1593,48,9,2414,O,31.661719876000063,35.14400714000004
0,0,0,0,0,0,0,0,L,31.674131104000026,35.165504018000036
1015,732,103,2,351,82,59,2344,L,31.698953560000064,34.56359144800007
1116,1154,104,3,578,817,166,3938,R,31.686542332000045,34.58508832600006
0,0,0,0,0,0,0,0,L,31.698953560000064,34.606585203000066
160,57,11,0,10,0,5,243,L,31.686542332000045,34.62808208100006
22,28,7,0,278,3,0,338,O,31.698953560000064,34.69257271300006
22,79,15,1,470,0,1,588,O,31.686542332000045,34.714069591000055
21,73,2,0,77,0,2,175,O,31.698953560000064,34.73556646800006
1,101,0,0,140,0,1,243,O,31.686542332000045,34.75706334600005
22,36,0,0,91,0,0,149,O,31.686542332000045,34.886044611000045
20,103,3,0,44,0,1,171,R,31.698953560000064,34.90754148800005
43,47,5,2,12,3,2,114,R,31.686542332000045,34.92903836500005
70,189,0,1,48,0,1,309,R,31.698953560000064,34.95053524300005
233,5,5,3,1,3,2,252,L,31.686542332000045,34.97203212000005
0,0,0,0,0,0,0,0,L,31.698953560000064,34.993528998000045
33,68,0,0,93,18,8,220,O,31.686542332000045,35.01502587500005
0,0,0,0,0,0,0,0,L,31.686542332000045,35.101013385000044
3,213,2,0,2156,5,48,2427,O,31.698953560000064,35.12251026300004
3,47,3,0,160,3,1,217,O,31.686542332000045,35.14400714000004
225,4,13,1,4,0,1,248,L,31.711364788000026,34.62808208100006
1053,2445,84,8,2017,265,133,6005,R,31.723776016000045,34.73556646800006
171,17,11,1,5,9,1,215,L,31.711364788000026,34.75706334600005
186,63,11,0,9,1,4,274,L,31.723776016000045,34.778560223000056
21,25,3,0,98,0,5,152,O,31.711364788000026,34.92903836500005
0,0,0,0,0,0,0,0,L,31.711364788000026,34.97203212000005
16,111,2,0,78,0,4,211,R,31.723776016000045,34.993528998000045
65,54,3,1,36,0,1,160,L,31.711364788000026,35.05801963000005
24,90,5,0,42,0,2,163,R,31.723776016000045,35.07951650800004
259,161,19,7,28,7,4,485,L,31.711364788000026,35.101013385000044
72,59,12,0,19,5,0,167,L,31.723776016000045,35.165504018000036
0,0,0,0,0,0,0,0,L,31.723776016000045,35.208497772000044
0,0,0,0,0,0,0,0,L,31.711364788000026,35.22999465000004
0,0,0,0,0,0,0,0,L,31.736187244000064,34.62808208100006
357,317,30,0,106,0,1,811,L,31.736187244000064,34.67107583600006
80,197,14,1,64,0,8,364,R,31.748598472000026,34.69257271300006
332,49,29,2,8,19,7,446,L,31.736187244000064,34.714069591000055
808,1493,43,7,1390,195,112,4048,R,31.736187244000064,34.75706334600005
124,184,48,0,105,1,6,468,R,31.748598472000026,34.778560223000056
85,66,13,0,8,0,8,180,L,31.736187244000064,34.80005710100005
463,9,3,21,0,2,0,498,L,31.736187244000064,34.84305085600005
2,90,0,0,64,0,1,157,R,31.736187244000064,34.886044611000045
444,917,39,8,704,457,67,2636,R,31.736187244000064,34.97203212000005
1340,3068,123,10,4026,741,201,9509,O,31.748598472000026,34.993528998000045
93,115,8,0,38,1,4,259,R,31.736187244000064,35.05801963000005
1262,2626,167,25,1903,662,211,6856,R,31.748598472000026,35.165504018000036
3544,6295,535,34,3311,1314,238,15271,R,31.736187244000064,35.18700089500004
5073,7649,617,350,4143,810,417,19059,R,31.748598472000026,35.208497772000044
482,387,63,7,159,17,17,1132,L,31.736187244000064,35.22999465000004
709,1288,114,9,602,261,59,3042,R,31.748598472000026,35.25149152700004
92,12,8,1,2,2,0,117,L,31.748598472000026,35.46646030200003
431,480,43,0,260,12,22,1248,R,31.761009700000045,34.62808208100006
1732,2175,121,11,880,5635,500,11054,S,31.773420928000064,34.64957895800006
60,198,5,0,111,0,12,386,R,31.761009700000045,34.67107583600006
340,583,112,0,541,230,47,1853,R,31.773420928000064,34.69257271300006
0,0,0,0,0,0,0,0,L,31.761009700000045,34.714069591000055
0,0,0,0,0,0,0,0,L,31.773420928000064,34.73556646800006
