L,R,C,A,O,S,M,Total,Highest,Lat,Long
166,307,104,1,45,21,2,646,R,29.539399890000027,34.95053524300005
1470,3700,1301,30,546,190,86,7323,R,29.551811118000046,34.92903836500005
1783,4819,1325,48,1171,414,127,9687,R,29.564222346000065,34.95053524300005
94,49,29,1,0,5,2,180,L,29.576633574000027,34.97203212000005
0,0,0,0,0,0,0,0,L,29.713157082000066,34.993528998000045
0,0,0,0,0,0,0,0,L,29.80003567800003,35.01502587500005
78,5,7,7,0,11,4,112,L,29.824858134000067,35.01502587500005
0,0,0,0,0,0,0,0,L,29.91173673000003,34.993528998000045
265,26,32,3,4,11,3,344,L,29.899325502000067,35.05801963000005
0,0,0,0,0,0,0,0,L,29.93655918500008,34.95053524300005
90,15,20,3,4,9,0,141,L,29.94897041300004,35.05801963000005
107,23,13,1,0,25,0,169,L,29.97379286900008,35.05801963000005
47,3,4,0,0,8,2,64,L,29.98620409700004,35.07951650800004
82,22,13,0,6,6,2,131,L,30.04826023700008,35.01502587500005
36,21,14,0,0,3,0,74,L,30.08549392100008,35.12251026300004
119,28,34,0,1,4,2,188,L,30.358540937000043,35.165504018000036
0,0,0,0,0,0,0,0,L,30.482653217000063,35.165504018000036
59,28,34,0,0,3,5,129,L,30.569531813000026,35.18700089500004
454,787,100,22,225,77,14,1679,R,30.594354269000064,34.80005710100005
105,238,35,2,26,41,6,453,R,30.619176725000045,34.80005710100005
164,30,72,2,3,3,3,277,L,30.656410409000046,35.25149152700004
133,63,60,0,7,7,4,274,L,30.768111461000046,35.272988405000035
0,0,0,0,0,0,0,0,L,30.792933917000028,34.67107583600006
0,0,0,0,0,0,0,0,L,30.805345145000047,35.25149152700004
33,27,11,0,2,1,0,74,L,30.805345145000047,35.29448528200004
206,48,43,4,4,7,6,318,L,30.854990057000066,34.778560223000056
185,20,13,1,5,17,4,245,L,30.867401285000028,34.80005710100005
0,0,0,0,0,0,0,0,L,30.879812513000047,34.821553978000054
0,0,0,0,0,0,0,0,L,30.90463496900003,34.39161642800008
42,66,32,0,9,18,7,174,R,30.892223741000066,34.41311330600007
0,0,0,0,0,0,0,0,L,30.90463496900003,34.434610183000075
94,49,36,0,0,3,0,182,L,30.929457425000066,35.380472792000035
34,25,15,0,2,3,2,81,L,30.954279881000048,34.69257271300006
0,0,0,0,0,0,0,0,L,30.954279881000048,35.380472792000035
0,0,0,0,0,0,0,0,L,30.991513565000048,34.75706334600005
227,37,29,0,3,15,4,315,L,31.003924793000067,34.778560223000056
