L,R,C,A,O,S,M,Total,Highest,Lat,Long
415,233,269,10,113,41,30,1111,L,29.539399890000027,34.95053524300005
2344,1433,1448,29,897,398,167,6716,L,29.551811118000046,34.92903836500005
3922,2849,2113,90,2455,1067,412,12908,L,29.564222346000065,34.95053524300005
123,9,27,0,3,3,0,165,L,29.576633574000027,34.97203212000005
0,0,0,0,0,0,0,0,L,29.713157082000066,34.993528998000045
0,0,0,0,0,0,0,0,L,29.80003567800003,35.01502587500005
81,1,7,5,0,7,2,103,L,29.824858134000067,35.01502587500005
0,0,0,0,0,0,0,0,L,29.91173673000003,34.993528998000045
374,18,20,6,2,10,6,436,L,29.899325502000067,35.05801963000005
0,0,0,0,0,0,0,0,L,29.93655918500008,34.95053524300005
104,3,17,1,2,12,2,141,L,29.94897041300004,35.05801963000005
118,3,17,1,0,11,3,153,L,29.97379286900008,35.05801963000005
67,2,7,4,1,1,2,84,L,29.98620409700004,35.07951650800004
103,7,16,2,2,8,3,141,L,30.04826023700008,35.01502587500005
54,5,9,1,6,16,4,95,L,30.08549392100008,35.12251026300004
150,4,26,0,0,5,4,189,L,30.358540937000043,35.165504018000036
0,0,0,0,0,0,0,0,L,30.482653217000063,35.165504018000036
81,5,24,0,0,4,3,117,L,30.569531813000026,35.18700089500004
411,674,156,18,291,134,45,1729,R,30.594354269000064,34.80005710100005
155,186,68,3,78,51,36,577,R,30.619176725000045,34.80005710100005
267,11,43,6,2,3,9,341,L,30.656410409000046,35.25149152700004
196,32,50,0,3,8,8,297,L,30.768111461000046,35.272988405000035
0,0,0,0,0,0,0,0,L,30.792933917000028,34.67107583600006
0,0,0,0,0,0,0,0,L,30.805345145000047,35.25149152700004
34,14,7,0,2,3,1,61,L,30.805345145000047,35.29448528200004
207,16,34,3,4,15,7,286,L,30.854990057000066,34.778560223000056
214,5,21,1,0,5,5,251,L,30.867401285000028,34.80005710100005
0,0,0,0,0,0,0,0,L,30.879812513000047,34.821553978000054
0,0,0,0,0,0,0,0,L,30.90463496900003,34.39161642800008
86,19,26,0,4,20,7,162,L,30.892223741000066,34.41311330600007
0,0,0,0,0,0,0,0,L,30.90463496900003,34.434610183000075
128,11,25,1,14,4,3,186,L,30.929457425000066,35.380472792000035
0,0,0,0,0,0,0,0,L,30.954279881000048,34.69257271300006
0,0,0,0,0,0,0,0,L,30.954279881000048,35.380472792000035
0,0,0,0,0,0,0,0,L,30.991513565000048,34.75706334600005
324,22,36,0,13,7,4,406,L,31.003924793000067,34.778560223000056
593,992,201,11,1976,349,192,4314,O,30.991513565000048,34.92903836500005
0,0,0,0,0,0,0,0,L,31.01633602100003,34.714069591000055
0,0,0,0,0,0,0,0,L,31.05356970500003,34.69257271300006
369,4,19,2,1,19,10,424,L,31.041158477000067,34.714069591000055
339,580,181,24,1123,408,140,2795,O,31.05356970500003,35.03652275300004
277,374,126,6,717,133,67,1700,O,31.06598093300005,35.01502587500005
1841,2592,1061,40,4673,1235,531,11973,O,31.078392161000068,35.03652275300004
49,8,5,564,16,2,35,679,A,31.10321461700005,34.95053524300005
18,3,4,462,4,1,12,504,A,31.09080338900003,34.97203212000005
1,64,2,0,26,1,0,94,R,31.14044830100005,34.327125796000075
0,0,0,0,0,0,0,0,L,31.152859529000068,34.90754148800005
0,0,0,0,0,0,0,0,L,31.152859529000068,35.03652275300004
14,15,10,2,8,6,1,56,R,31.14044830100005,35.35897591500003
0,0,0,0,0,0,0,0,L,31.16527075700003,34.327125796000075
119,27,67,1335,29,9,60,1646,A,31.16527075700003,35.01502587500005
43,9,27,0,0,3,4,86,L,31.19009321300007,34.327125796000075
78,8,9,0,0,4,0,99,L,31.19009321300007,34.37011955100007
190,10,10,2,1,20,3,236,L,31.20250444100003,34.52059769300007
32,9,7,1491,34,18,71,1662,A,31.20250444100003,34.821553978000054
63,2,5,724,24,8,36,862,A,31.19009321300007,34.84305085600005
35,5,5,1000,11,1,31,1088,A,31.19009321300007,34.92903836500005
0,0,0,0,0,0,0,0,L,31.21491566900005,34.28413204100008
121,39,41,0,12,3,9,225,L,31.21491566900005,34.327125796000075
313,0,8,7,1,0,2,331,L,31.22732689700007,34.34862267400007
176,124,66,0,98,10,15,489,L,31.22732689700007,34.434610183000075
133,1,7,2,2,4,2,151,L,31.21491566900005,34.45610706100007
0,0,0,0,0,0,0,0,L,31.22732689700007,34.64957895800006
2150,2039,1112,51,1919,1830,575,9676,L,31.22732689700007,34.778560223000056
197,60,20,96,44,8,13,438,L,31.21491566900005,34.886044611000045
0,0,0,0,0,0,0,0,L,31.22732689700007,35.03652275300004
4,2,0,134,5,1,5,151,A,31.22732689700007,35.208497772000044
0,0,0,0,0,0,0,0,L,31.23973812500003,34.28413204100008
142,23,37,0,11,19,6,238,L,31.23973812500003,34.327125796000075
70,21,26,0,7,3,4,131,L,31.25214935300005,34.39161642800008
246,83,31,2,123,4,10,499,L,31.23973812500003,34.41311330600007
481,12,26,0,3,8,9,539,L,31.23973812500003,34.714069591000055
795,527,401,6,618,113,117,2577,L,31.23973812500003,34.75706334600005
7415,6000,3090,104,7233,4297,1349,29488,L,31.25214935300005,34.778560223000056
1240,1192,521,19,1714,578,251,5515,O,31.23973812500003,34.80005710100005
137,176,56,10,246,209,28,862,O,31.25214935300005,34.821553978000054
694,129,27,2626,102,87,172,3837,A,31.25214935300005,34.86454773300005
107,6,5,162,5,2,17,304,A,31.25214935300005,34.95053524300005
15,0,14,113,43,1,1,187,A,31.25214935300005,35.03652275300004
208,7,60,592,286,7,88,1248,A,31.25214935300005,35.07951650800004
145,7,31,574,74,5,26,862,A,31.23973812500003,35.101013385000044
3726,2187,1590,40,1359,1667,406,10975,L,31.25214935300005,35.208497772000044
165,48,59,1,16,7,6,302,L,31.27697180900003,34.434610183000075
1732,2225,1011,26,2020,2116,494,9624,R,31.26456058100007,34.75706334600005
1011,1128,501,21,1787,854,217,5519,O,31.27697180900003,34.778560223000056
3816,4379,1726,109,8199,2892,962,22083,O,31.26456058100007,34.80005710100005
2449,471,767,24,154,78,97,4040,L,31.26456058100007,34.84305085600005
0,0,0,0,0,0,0,0,L,31.26456058100007,34.886044611000045
136,4,5,228,34,3,6,416,A,31.27697180900003,34.90754148800005
0,0,0,0,0,0,0,0,L,31.26456058100007,35.05801963000005
0,0,0,0,0,0,0,0,L,31.27697180900003,35.07951650800004
427,291,245,3,70,305,50,1391,L,31.27697180900003,35.208497772000044
224,1,12,1,0,5,2,245,L,31.30179426500007,34.434610183000075
276,7,15,4,2,10,3,317,L,31.30179426500007,34.52059769300007
76,139,18,1,126,194,43,597,S,31.30179426500007,34.606585203000066
0,0,0,0,0,0,0,0,L,31.28938303700005,34.62808208100006
0,0,0,0,0,0,0,0,L,31.28938303700005,34.80005710100005
145,8,3,735,50,5,37,983,A,31.28938303700005,34.92903836500005
58,7,4,414,48,62,26,619,A,31.30179426500007,34.95053524300005
0,0,0,0,0,0,0,0,L,31.28938303700005,35.05801963000005
0,0,0,0,0,0,0,0,L,31.30179426500007,35.07951650800004
18,5,3,706,18,4,47,801,A,31.28938303700005,35.101013385000044
241,2,5,3,1,5,0,257,L,31.32661672100005,34.39161642800008
221,1,13,2,0,11,0,248,L,31.31420549300003,34.41311330600007
37,67,60,2,204,0,5,375,O,31.32661672100005,34.56359144800007
84,44,11,0,24,5,3,171,L,31.31420549300003,34.58508832600006
160,51,29,0,99,0,14,353,L,31.32661672100005,34.606585203000066
1297,1820,428,24,4720,1296,478,10063,O,31.31420549300003,34.62808208100006
125,126,43,2,100,3,6,405,R,31.32661672100005,34.64957895800006
1,24,1,0,436,0,1,463,O,31.31420549300003,34.67107583600006
48,5,24,0,5,1,0,83,L,31.32661672100005,34.69257271300006
184,9,8,1151,102,2,62,1518,A,31.32661672100005,34.86454773300005
1305,557,520,6,362,49,54,2853,L,31.32661672100005,34.95053524300005
28,6,2,97,39,15,10,197,A,31.32661672100005,35.03652275300004
162,4,13,1,5,5,1,191,L,31.351439176000042,34.39161642800008
21,129,21,0,171,1,6,349,O,31.339027948000023,34.62808208100006
6,1,0,19,1,0,6,33,A,31.351439176000042,34.73556646800006
0,0,0,0,0,0,0,0,L,31.339027948000023,34.886044611000045
0,0,0,0,0,0,0,0,L,31.351439176000042,34.90754148800005
0,0,0,0,0,0,0,0,L,31.339027948000023,35.101013385000044
133,2,8,0,1,7,2,153,L,31.376261632000023,34.39161642800008
51,14,1,0,56,0,2,124,O,31.36385040400006,34.62808208100006
57,15,22,1,23,2,2,122,L,31.376261632000023,34.64957895800006
378,9,24,1,3,13,7,435,L,31.36385040400006,34.714069591000055
760,40,18,350,148,4,109,1429,L,31.376261632000023,34.73556646800006
0,0,0,0,0,0,0,0,L,31.36385040400006,34.75706334600005
1035,236,444,2,81,29,36,1863,L,31.376261632000023,34.821553978000054
295,29,23,0,15,12,6,380,L,31.376261632000023,34.86454773300005
47,78,60,0,33,4,5,227,R,31.376261632000023,34.95053524300005
70,96,34,0,12,44,10,266,R,31.36385040400006,35.05801963000005
1,70,2,0,53,0,2,128,R,31.36385040400006,35.101013385000044
197,6,19,0,1,3,0,226,L,31.388672860000042,34.45610706100007
12,117,20,0,164,0,1,314,O,31.388672860000042,34.58508832600006
24,202,16,1,437,0,10,690,O,31.40108408800006,34.606585203000066
45,12,5,0,58,0,3,123,O,31.388672860000042,34.62808208100006
126,4,18,744,7,6,51,956,A,31.40108408800006,34.73556646800006
832,175,193,4575,200,109,231,6315,A,31.388672860000042,34.75706334600005
203,2,8,7,0,0,2,222,L,31.40108408800006,34.821553978000054
0,0,0,0,0,0,0,0,L,31.40108408800006,34.90754148800005
23,58,26,0,10,1,4,122,R,31.388672860000042,35.01502587500005
2,66,0,0,54,0,1,123,R,31.388672860000042,35.101013385000044
491,3,10,2,3,10,7,526,L,31.413495316000024,34.499100816000066
2,20,0,0,83,0,0,105,O,31.425906544000043,34.52059769300007
10,31,6,0,42,3,2,94,O,31.425906544000043,34.56359144800007
522,1160,174,10,2579,1074,128,5647,O,31.413495316000024,34.58508832600006
162,661,82,7,2248,298,39,3497,O,31.425906544000043,34.606585203000066
23,37,34,0,59,2,2,157,O,31.425906544000043,34.64957895800006
35,39,37,0,63,0,3,177,O,31.425906544000043,34.69257271300006
321,19,31,84,11,16,10,492,L,31.413495316000024,34.75706334600005
0,0,0,0,0,0,0,0,L,31.425906544000043,35.165504018000036
29,40,5,0,115,2,1,192,O,31.450729000000024,34.52059769300007
20,183,13,2,352,4,2,576,O,31.43831777200006,34.542094571000064
1,37,3,0,145,2,0,188,O,31.450729000000024,34.56359144800007
54,72,15,0,635,26,6,808,O,31.43831777200006,34.58508832600006
2,21,0,0,138,0,0,161,O,31.450729000000024,34.606585203000066
114,87,70,1,64,5,8,349,L,31.450729000000024,34.64957895800006
69,35,23,0,49,2,1,179,L,31.43831777200006,34.67107583600006
24,17,3,0,77,0,2,123,O,31.43831777200006,34.714069591000055
165,3,15,2,1,3,0,189,L,31.43831777200006,34.75706334600005
0,0,0,0,0,0,0,0,L,31.43831777200006,34.886044611000045
2,88,0,0,94,1,1,186,O,31.43831777200006,35.01502587500005
180,4,21,3,2,5,3,218,L,31.463140228000043,34.499100816000066
126,86,19,5,132,3,20,391,O,31.463140228000043,34.542094571000064
36,72,8,1,84,2,91,294,M,31.475551456000062,34.606585203000066
9,15,1,0,87,1,2,115,O,31.463140228000043,34.62808208100006
52,28,14,0,29,7,4,134,L,31.475551456000062,34.64957895800006
59,13,3,0,65,0,1,141,O,31.463140228000043,34.67107583600006
0,61,1,0,20,0,0,82,R,31.475551456000062,35.165504018000036
287,10,35,2,10,12,6,362,L,31.475551456000062,35.380472792000035
325,8,29,3,0,3,7,375,L,31.487962684000024,34.542094571000064
189,12,18,1,1,13,2,236,L,31.500373912000043,34.56359144800007
183,3,18,2,0,2,1,209,L,31.500373912000043,34.606585203000066
62,34,14,0,20,6,2,138,L,31.487962684000024,34.62808208100006
295,6,25,3,2,6,2,339,L,31.500373912000043,34.64957895800006
282,3,9,1,4,10,2,311,L,31.500373912000043,34.69257271300006
0,0,0,0,0,0,0,0,L,31.487962684000024,34.92903836500005
0,0,0,0,0,0,0,0,L,31.487962684000024,34.97203212000005
1,84,0,0,31,0,0,116,R,31.500373912000043,35.07951650800004
346,294,70,4,555,76,54,1399,O,31.512785140000062,34.58508832600006
974,1454,236,12,1456,590,386,5108,O,31.525196368000024,34.606585203000066
14,29,14,0,4,4,4,69,R,31.525196368000024,34.90754148800005
44,25,19,1,3,2,3,97,L,31.512785140000062,34.92903836500005
39,1287,46,2,483,89,25,1971,R,31.525196368000024,35.12251026300004
178,7,21,0,1,6,4,217,L,31.550018824000063,34.56359144800007
756,1059,196,13,1048,325,167,3564,R,31.537607596000043,34.58508832600006
222,4,8,0,0,7,2,243,L,31.550018824000063,34.606585203000066
288,9,23,3,7,7,6,343,L,31.550018824000063,34.64957895800006
3,50,1,0,188,1,0,243,O,31.550018824000063,34.778560223000056
0,0,0,0,0,0,0,0,L,31.550018824000063,34.90754148800005
0,0,0,0,0,0,0,0,L,31.537607596000043,34.92903836500005
4,127,0,0,55,1,0,187,R,31.537607596000043,35.101013385000044
9,367,19,0,194,21,2,612,R,31.550018824000063,35.12251026300004
175,56,89,0,16,8,6,350,L,31.562430052000025,34.542094571000064
389,8,12,3,10,5,3,430,L,31.574841280000044,34.56359144800007
52,82,11,1,110,2,30,288,O,31.574841280000044,34.64957895800006
33,57,4,0,152,7,4,257,O,31.562430052000025,34.67107583600006
59,58,11,0,103,1,2,234,O,31.574841280000044,34.69257271300006
4,31,6,0,174,3,2,220,O,31.574841280000044,34.73556646800006
3,67,2,1,172,0,1,246,O,31.562430052000025,34.80005710100005
228,14,30,3,3,0,3,281,L,31.562430052000025,34.84305085600005
22,66,35,0,9,2,4,138,R,31.562430052000025,35.01502587500005
2,27,1,0,14,2,0,46,R,31.574841280000044,35.03652275300004
58,2,17,2,1,3,24,107,L,31.562430052000025,35.40196967000003
193,2,5,4,0,2,3,209,L,31.599663736000025,34.52059769300007
147,3,11,0,5,13,2,181,L,31.599663736000025,34.606585203000066
45,65,12,0,64,2,5,193,R,31.599663736000025,34.69257271300006
7,76,7,0,471,5,2,568,O,31.587252508000063,34.75706334600005
786,707,300,10,1153,500,116,3572,O,31.599663736000025,34.778560223000056
110,0,22,1,0,2,0,135,L,31.599663736000025,34.90754148800005
0,0,0,0,99,0,0,99,O,31.587252508000063,35.18700089500004
1,15,0,0,108,0,0,124,O,31.587252508000063,35.22999465000004
102,2,3,562,255,0,3,927,A,31.599663736000025,35.33747903700004
145,3,10,1,3,1,0,163,L,31.612074964000044,34.542094571000064
51,24,21,0,7,5,2,110,L,31.612074964000044,34.58508832600006
215,39,65,3,11,6,0,339,L,31.624486192000063,34.606585203000066
114,174,98,0,201,4,8,599,O,31.624486192000063,34.69257271300006
182,111,53,0,81,6,5,438,L,31.612074964000044,34.714069591000055
3598,4153,1465,62,5876,3563,792,19509,O,31.612074964000044,34.75706334600005
306,342,124,3,602,98,47,1522,O,31.624486192000063,34.778560223000056
95,37,27,0,12,0,1,172,L,31.612074964000044,34.80005710100005
0,16,1,0,71,0,1,89,O,31.624486192000063,34.95053524300005
1,81,0,0,50,0,0,132,R,31.612074964000044,35.101013385000044
2638,4680,885,55,5898,3332,542,18030,O,31.649308648000044,34.56359144800007
74,105,31,1,162,8,4,385,O,31.649308648000044,34.606585203000066
328,34,67,1,2,6,3,441,L,31.636897420000025,34.67107583600006
8,23,7,0,278,0,1,317,O,31.636897420000025,34.714069591000055
12,80,15,1,342,2,0,452,O,31.649308648000044,34.73556646800006
14,89,33,1,79,1,1,218,R,31.649308648000044,34.778560223000056
233,1,5,0,1,11,0,251,L,31.636897420000025,34.84305085600005
139,0,5,3,0,5,0,152,L,31.649308648000044,34.86454773300005
12,47,3,0,171,6,1,240,O,31.649308648000044,34.993528998000045
75,488,22,1,539,46,12,1183,O,31.649308648000044,35.12251026300004
10,50,2,0,64,0,0,126,O,31.636897420000025,35.14400714000004
5,495,12,1,109,15,13,650,R,31.649308648000044,35.25149152700004
3268,2469,1183,16,2631,985,246,10798,L,31.674131104000026,34.56359144800007
