L,R,C,A,O,S,M,Total,Highest,Lat,Long
402,246,0,0,6,0,7,661,L,29.539399890000027,34.95053524300005
598,555,0,4,65,0,25,1247,L,29.551811118000046,34.92903836500005
5495,6077,0,25,405,0,224,12226,R,29.564222346000065,34.95053524300005
149,25,0,0,0,0,1,175,L,29.576633574000027,34.97203212000005
0,0,0,0,0,0,0,0,L,29.713157082000066,34.993528998000045
0,0,0,0,0,0,0,0,L,29.80003567800003,35.01502587500005
0,0,0,0,0,0,0,0,L,29.824858134000067,35.01502587500005
0,0,0,0,0,0,0,0,L,29.91173673000003,34.993528998000045
372,19,0,0,1,0,1,393,L,29.899325502000067,35.05801963000005
0,0,0,0,0,0,0,0,L,29.93655918500008,34.95053524300005
160,23,0,0,0,0,7,190,L,29.94897041300004,35.05801963000005
116,13,0,0,2,0,4,135,L,29.97379286900008,35.05801963000005
0,0,0,0,0,0,0,0,L,29.98620409700004,35.07951650800004
0,0,0,0,0,0,0,0,L,30.04826023700008,35.01502587500005
0,0,0,0,0,0,0,0,L,30.08549392100008,35.12251026300004
98,20,0,0,0,0,1,119,L,30.358540937000043,35.165504018000036
0,0,0,0,0,0,0,0,L,30.482653217000063,35.165504018000036
67,16,0,0,0,0,0,83,L,30.569531813000026,35.18700089500004
704,812,0,0,88,0,28,1632,R,30.594354269000064,34.80005710100005
298,316,0,2,53,0,25,694,R,30.619176725000045,34.80005710100005
249,26,0,2,2,0,1,280,L,30.656410409000046,35.25149152700004
178,56,0,0,0,0,1,235,L,30.768111461000046,35.272988405000035
0,0,0,0,0,0,0,0,L,30.792933917000028,34.67107583600006
0,0,0,0,0,0,0,0,L,30.805345145000047,35.25149152700004
0,0,0,0,0,0,0,0,L,30.805345145000047,35.29448528200004
146,33,0,0,4,0,4,187,L,30.854990057000066,34.778560223000056
207,11,0,0,0,0,1,219,L,30.867401285000028,34.80005710100005
0,0,0,0,0,0,0,0,L,30.879812513000047,34.821553978000054
0,0,0,0,0,0,0,0,L,30.90463496900003,34.39161642800008
0,0,0,0,0,0,0,0,L,30.892223741000066,34.41311330600007
0,0,0,0,0,0,0,0,L,30.90463496900003,34.434610183000075
109,49,0,0,0,0,0,158,L,30.929457425000066,35.380472792000035
0,0,0,0,0,0,0,0,L,30.954279881000048,34.69257271300006
0,0,0,0,0,0,0,0,L,30.954279881000048,35.380472792000035
0,0,0,0,0,0,0,0,L,30.991513565000048,34.75706334600005
298,17,0,0,3,0,0,318,L,31.003924793000067,34.778560223000056
922,1501,0,4,1012,0,57,3496,R,30.991513565000048,34.92903836500005
0,0,0,0,0,0,0,0,L,31.01633602100003,34.714069591000055
0,0,0,0,0,0,0,0,L,31.05356970500003,34.69257271300006
405,22,0,0,1,0,6,434,L,31.041158477000067,34.714069591000055
920,1388,0,4,453,0,49,2814,R,31.05356970500003,35.03652275300004
477,726,0,1,266,0,32,1502,R,31.06598093300005,35.01502587500005
3273,5233,0,7,1579,0,150,10242,R,31.078392161000068,35.03652275300004
112,62,0,183,23,0,7,387,A,31.10321461700005,34.95053524300005
202,13,0,97,40,0,10,362,L,31.09080338900003,34.97203212000005
0,0,0,0,0,0,0,0,L,31.14044830100005,34.327125796000075
0,0,0,0,0,0,0,0,L,31.152859529000068,34.90754148800005
0,0,0,0,0,0,0,0,L,31.152859529000068,35.03652275300004
0,0,0,0,0,0,0,0,L,31.14044830100005,35.35897591500003
0,0,0,0,0,0,0,0,L,31.16527075700003,34.327125796000075
306,38,0,555,49,0,23,971,A,31.16527075700003,35.01502587500005
0,0,0,0,0,0,0,0,L,31.19009321300007,34.327125796000075
0,0,0,0,0,0,0,0,L,31.19009321300007,34.37011955100007
195,8,0,0,0,0,4,207,L,31.20250444100003,34.52059769300007
363,167,0,485,28,0,41,1084,A,31.20250444100003,34.821553978000054
108,8,0,63,2,0,8,189,L,31.19009321300007,34.84305085600005
67,63,0,528,57,0,42,757,A,31.19009321300007,34.92903836500005
0,0,0,0,0,0,0,0,L,31.21491566900005,34.28413204100008
0,0,0,0,0,0,0,0,L,31.21491566900005,34.327125796000075
327,3,0,1,2,0,2,335,L,31.22732689700007,34.34862267400007
180,316,0,0,35,0,6,537,R,31.22732689700007,34.434610183000075
137,3,0,1,0,0,3,144,L,31.21491566900005,34.45610706100007
0,0,0,0,0,0,0,0,L,31.22732689700007,34.64957895800006
2061,2280,0,14,414,0,179,4948,R,31.22732689700007,34.778560223000056
222,65,0,0,24,0,9,320,L,31.21491566900005,34.886044611000045
0,0,0,0,0,0,0,0,L,31.22732689700007,35.03652275300004
26,8,0,55,7,0,5,101,A,31.22732689700007,35.208497772000044
58,15,0,0,0,0,3,76,L,31.23973812500003,34.28413204100008
0,0,0,0,0,0,0,0,L,31.23973812500003,34.327125796000075
101,24,0,0,1,0,0,126,L,31.25214935300005,34.39161642800008
218,180,0,0,42,0,17,457,L,31.23973812500003,34.41311330600007
434,26,0,0,1,0,3,464,L,31.23973812500003,34.714069591000055
496,357,0,1,93,0,30,977,L,31.23973812500003,34.75706334600005
13635,11927,0,47,2642,0,873,29124,L,31.25214935300005,34.778560223000056
2287,2339,0,13,558,0,145,5342,R,31.23973812500003,34.80005710100005
353,486,0,5,140,0,39,1023,R,31.25214935300005,34.821553978000054
605,326,0,1417,150,0,194,2692,A,31.25214935300005,34.86454773300005
75,77,0,90,12,0,4,258,A,31.25214935300005,34.95053524300005
68,43,0,7,38,0,21,177,L,31.25214935300005,35.03652275300004
262,125,0,66,54,0,8,515,L,31.25214935300005,35.07951650800004
472,236,0,176,76,0,70,1030,L,31.23973812500003,35.101013385000044
5237,3237,0,20,866,0,272,9632,L,31.25214935300005,35.208497772000044
163,90,0,0,3,0,2,258,L,31.27697180900003,34.434610183000075
1058,1034,0,2,189,0,66,2349,L,31.26456058100007,34.75706334600005
821,1123,0,15,234,0,55,2248,R,31.27697180900003,34.778560223000056
6300,10349,0,47,3568,0,651,20915,R,31.26456058100007,34.80005710100005
2733,873,0,5,65,0,48,3724,L,31.26456058100007,34.84305085600005
0,0,0,0,0,0,0,0,L,31.26456058100007,34.886044611000045
112,203,0,36,61,0,21,433,R,31.27697180900003,34.90754148800005
0,0,0,0,0,0,0,0,L,31.26456058100007,35.05801963000005
0,0,0,0,0,0,0,0,L,31.27697180900003,35.07951650800004
0,0,0,0,0,0,0,0,L,31.27697180900003,35.208497772000044
237,3,0,0,0,0,1,241,L,31.30179426500007,34.434610183000075
325,17,0,0,2,0,1,345,L,31.30179426500007,34.52059769300007
0,0,0,0,0,0,0,0,L,31.30179426500007,34.606585203000066
0,0,0,0,0,0,0,0,L,31.28938303700005,34.62808208100006
0,0,0,0,0,0,0,0,L,31.28938303700005,34.80005710100005
285,74,0,75,111,0,5,550,L,31.28938303700005,34.92903836500005
0,0,0,0,0,0,0,0,L,31.30179426500007,34.95053524300005
0,0,0,0,0,0,0,0,L,31.28938303700005,35.05801963000005
0,0,0,0,0,0,0,0,L,31.30179426500007,35.07951650800004
164,64,0,577,139,0,61,1005,A,31.28938303700005,35.101013385000044
271,3,0,2,0,0,0,276,L,31.32661672100005,34.39161642800008
229,3,0,0,0,0,3,235,L,31.31420549300003,34.41311330600007
103,114,0,0,139,0,1,357,O,31.32661672100005,34.56359144800007
90,30,0,0,19,0,0,139,L,31.31420549300003,34.58508832600006
213,96,0,0,47,0,1,357,L,31.32661672100005,34.606585203000066
1947,2717,0,4,2382,0,82,7132,R,31.31420549300003,34.62808208100006
257,196,0,0,50,0,17,520,L,31.32661672100005,34.64957895800006
1,58,0,0,275,0,0,334,O,31.31420549300003,34.67107583600006
57,24,0,0,3,0,2,86,L,31.32661672100005,34.69257271300006
119,159,0,69,2,0,12,361,R,31.32661672100005,34.86454773300005
1031,698,0,0,188,0,29,1946,L,31.32661672100005,34.95053524300005
