L,R,C,A,O,S,M,Total,Highest,Lat,Long
109,88,239,1,34,69,9,549,C,29.539399890000027,34.95053524300005
1735,1341,2515,20,548,736,144,7039,C,29.551811118000046,34.92903836500005
1911,1962,2265,25,964,986,281,8394,C,29.564222346000065,34.95053524300005
89,11,23,1,3,23,5,155,L,29.576633574000027,34.97203212000005
0,0,0,0,0,0,0,0,L,29.713157082000066,34.993528998000045
0,0,0,0,0,0,0,0,L,29.80003567800003,35.01502587500005
90,3,12,4,3,14,0,126,L,29.824858134000067,35.01502587500005
0,0,0,0,0,0,0,0,L,29.91173673000003,34.993528998000045
250,9,47,0,2,27,1,336,L,29.899325502000067,35.05801963000005
0,0,0,0,0,0,0,0,L,29.93655918500008,34.95053524300005
96,1,31,0,4,18,4,154,L,29.94897041300004,35.05801963000005
123,11,25,2,0,16,7,184,L,29.97379286900008,35.05801963000005
49,3,10,1,0,16,2,81,L,29.98620409700004,35.07951650800004
81,17,33,0,2,28,3,164,L,30.04826023700008,35.01502587500005
34,3,28,0,0,11,5,81,L,30.08549392100008,35.12251026300004
87,10,86,0,0,23,8,214,L,30.358540937000043,35.165504018000036
0,0,0,0,0,0,0,0,L,30.482653217000063,35.165504018000036
50,6,82,0,1,39,2,180,C,30.569531813000026,35.18700089500004
510,654,153,7,144,61,35,1564,R,30.594354269000064,34.80005710100005
154,174,59,5,19,36,5,452,R,30.619176725000045,34.80005710100005
147,14,97,3,0,47,5,313,L,30.656410409000046,35.25149152700004
80,41,111,0,5,44,17,298,C,30.768111461000046,35.272988405000035
17,15,34,0,1,6,2,75,C,30.792933917000028,34.67107583600006
0,0,0,0,0,0,0,0,L,30.805345145000047,35.25149152700004
49,13,31,1,0,5,5,104,L,30.805345145000047,35.29448528200004
220,33,89,3,4,33,12,394,L,30.854990057000066,34.778560223000056
165,52,43,2,4,16,8,290,L,30.867401285000028,34.80005710100005
0,0,0,0,0,0,0,0,L,30.879812513000047,34.821553978000054
0,0,0,0,0,0,0,0,L,30.90463496900003,34.39161642800008
44,27,42,1,3,27,7,151,L,30.892223741000066,34.41311330600007
0,0,0,0,0,0,0,0,L,30.90463496900003,34.434610183000075
57,16,83,0,0,25,6,187,C,30.929457425000066,35.380472792000035
50,16,21,0,5,11,1,104,L,30.954279881000048,34.69257271300006
0,0,0,0,0,0,0,0,L,30.954279881000048,35.380472792000035
18,3,24,0,2,14,4,65,C,30.991513565000048,34.75706334600005
194,7,54,0,2,22,5,284,L,31.003924793000067,34.778560223000056
491,1077,428,15,918,89,61,3079,R,30.991513565000048,34.92903836500005
0,0,0,0,0,0,0,0,L,31.01633602100003,34.714069591000055
0,0,0,0,0,0,0,0,L,31.05356970500003,34.69257271300006
268,24,86,1,2,25,6,412,L,31.041158477000067,34.714069591000055
307,908,280,11,448,42,55,2051,R,31.05356970500003,35.03652275300004
235,459,181,0,210,46,30,1161,R,31.06598093300005,35.01502587500005
1683,3457,1517,18,1731,282,200,8888,R,31.078392161000068,35.03652275300004
114,5,25,380,6,2,7,539,A,31.10321461700005,34.95053524300005
63,6,16,404,10,2,19,520,A,31.09080338900003,34.97203212000005
0,0,0,0,0,0,0,0,L,31.14044830100005,34.327125796000075
0,0,0,0,0,0,0,0,L,31.152859529000068,34.90754148800005
0,0,0,0,0,0,0,0,L,31.152859529000068,35.03652275300004
2,8,18,0,6,10,1,45,C,31.14044830100005,35.35897591500003
0,0,0,0,0,0,0,0,L,31.16527075700003,34.327125796000075
81,22,54,1382,95,6,27,1667,A,31.16527075700003,35.01502587500005
27,130,54,0,6,20,11,248,R,31.19009321300007,34.327125796000075
35,11,44,0,0,10,5,105,C,31.19009321300007,34.37011955100007
158,20,37,1,1,23,4,244,L,31.20250444100003,34.52059769300007
58,13,17,861,20,13,43,1025,A,31.20250444100003,34.821553978000054
98,11,118,830,11,12,32,1112,A,31.19009321300007,34.84305085600005
67,7,8,600,28,15,36,761,A,31.19009321300007,34.92903836500005
0,0,0,0,0,0,0,0,L,31.21491566900005,34.28413204100008
58,76,67,0,25,29,2,257,R,31.21491566900005,34.327125796000075
314,13,45,7,5,18,1,403,L,31.22732689700007,34.34862267400007
121,84,97,0,67,45,7,421,L,31.22732689700007,34.434610183000075
94,5,21,1,0,13,1,135,L,31.21491566900005,34.45610706100007
41,20,47,0,5,3,1,117,C,31.22732689700007,34.64957895800006
2013,3968,2588,64,1093,702,276,10704,R,31.22732689700007,34.778560223000056
95,76,89,0,37,24,3,324,L,31.21491566900005,34.886044611000045
0,0,0,0,0,0,0,0,L,31.22732689700007,35.03652275300004
27,1,7,106,1,1,1,144,A,31.22732689700007,35.208497772000044
12,3,8,1,0,4,0,28,L,31.23973812500003,34.28413204100008
67,14,29,0,1,15,1,127,L,31.23973812500003,34.327125796000075
54,19,35,0,6,6,8,128,L,31.25214935300005,34.39161642800008
201,62,63,2,74,33,8,443,L,31.23973812500003,34.41311330600007
385,12,82,0,0,29,12,520,L,31.23973812500003,34.714069591000055
1036,1242,1177,8,546,327,74,4410,R,31.23973812500003,34.75706334600005
3961,7779,4414,68,2963,1330,583,21098,R,31.25214935300005,34.778560223000056
865,1553,998,25,722,307,116,4586,R,31.23973812500003,34.80005710100005
64,213,75,2,95,16,24,489,R,31.25214935300005,34.821553978000054
478,37,280,2305,74,27,100,3301,A,31.25214935300005,34.86454773300005
32,4,6,147,2,3,12,206,A,31.25214935300005,34.95053524300005
1,0,4,19,0,0,1,25,A,31.25214935300005,35.03652275300004
119,12,143,878,33,7,22,1214,A,31.25214935300005,35.07951650800004
122,43,113,478,10,7,13,786,A,31.23973812500003,35.101013385000044
1661,3509,2083,34,849,720,282,9138,R,31.25214935300005,35.208497772000044
149,54,119,1,3,48,2,376,L,31.27697180900003,34.434610183000075
1403,3864,2149,23,1173,458,211,9281,R,31.26456058100007,34.75706334600005
588,1614,898,17,1048,177,110,4452,R,31.27697180900003,34.778560223000056
2889,5334,2990,93,2946,917,400,15569,R,31.26456058100007,34.80005710100005
1416,599,1352,16,44,362,110,3899,L,31.26456058100007,34.84305085600005
48,3,0,54,3,1,5,114,A,31.26456058100007,34.886044611000045
158,4,141,114,6,0,9,432,L,31.27697180900003,34.90754148800005
0,0,0,0,0,0,0,0,L,31.26456058100007,35.05801963000005
0,0,0,0,0,0,0,0,L,31.27697180900003,35.07951650800004
213,566,386,1,42,91,28,1327,R,31.27697180900003,35.208497772000044
227,7,38,5,1,6,0,284,L,31.30179426500007,34.434610183000075
145,8,63,1,0,16,4,237,L,31.30179426500007,34.52059769300007
121,377,88,2,75,9,18,690,R,31.30179426500007,34.606585203000066
58,141,37,0,36,7,5,284,R,31.28938303700005,34.62808208100006
403,473,432,5,181,79,16,1589,R,31.28938303700005,34.80005710100005
106,7,12,1179,10,1,11,1326,A,31.28938303700005,34.92903836500005
156,9,41,740,3,1,12,962,A,31.30179426500007,34.95053524300005
0,0,0,0,0,0,0,0,L,31.28938303700005,35.05801963000005
129,0,1,43,17,0,2,192,L,31.30179426500007,35.07951650800004
41,4,9,388,3,3,13,461,A,31.28938303700005,35.101013385000044
192,0,32,0,0,14,3,241,L,31.32661672100005,34.39161642800008
188,1,31,0,0,14,2,236,L,31.31420549300003,34.41311330600007
66,78,37,0,132,8,6,327,O,31.32661672100005,34.56359144800007
64,32,61,1,13,11,4,186,L,31.31420549300003,34.58508832600006
124,47,55,0,47,12,3,288,L,31.32661672100005,34.606585203000066
1564,2582,732,12,3218,120,159,8387,O,31.31420549300003,34.62808208100006
130,128,56,0,70,18,2,404,L,31.32661672100005,34.64957895800006
10,15,5,0,631,1,1,663,O,31.31420549300003,34.67107583600006
33,10,19,0,1,3,0,66,L,31.32661672100005,34.69257271300006
45,6,78,2264,7,7,30,2437,A,31.32661672100005,34.86454773300005
1071,871,979,10,91,329,78,3429,L,31.32661672100005,34.95053524300005
2,2,30,99,1,1,0,135,A,31.32661672100005,35.03652275300004
115,7,52,0,1,3,2,180,L,31.351439176000042,34.39161642800008
31,148,27,0,105,1,2,314,R,31.339027948000023,34.62808208100006
5,4,2,53,1,1,4,70,A,31.351439176000042,34.73556646800006
0,0,0,0,0,0,0,0,L,31.339027948000023,34.886044611000045
1,73,1,0,0,1,3,79,R,31.351439176000042,34.90754148800005
0,0,0,0,0,0,0,0,L,31.339027948000023,35.101013385000044
93,1,16,0,1,7,0,118,L,31.376261632000023,34.39161642800008
68,26,9,0,19,2,1,125,L,31.36385040400006,34.62808208100006
81,19,32,2,8,8,3,153,L,31.376261632000023,34.64957895800006
251,18,87,0,4,28,11,399,L,31.36385040400006,34.714069591000055
329,17,404,418,19,5,32,1224,A,31.376261632000023,34.73556646800006
0,0,0,0,0,0,0,0,L,31.36385040400006,34.75706334600005
1040,398,1004,11,43,266,55,2817,L,31.376261632000023,34.821553978000054
205,5,40,0,1,16,0,267,L,31.376261632000023,34.86454773300005
28,64,93,1,2,23,4,215,C,31.376261632000023,34.95053524300005
26,66,43,0,11,12,11,169,R,31.36385040400006,35.05801963000005
0,151,1,0,7,4,21,184,R,31.36385040400006,35.101013385000044
161,5,23,0,0,23,8,220,L,31.388672860000042,34.45610706100007
36,92,33,0,82,9,7,259,R,31.388672860000042,34.58508832600006
68,375,55,1,211,13,13,736,R,31.40108408800006,34.606585203000066
62,15,33,0,14,0,1,125,L,31.388672860000042,34.62808208100006
