L,R,C,A,O,S,M,Total,Highest,Lat,Long
84,229,173,1,31,20,12,550,R,29.539399890000027,34.95053524300005
1416,3870,3225,48,858,176,293,9886,R,29.551811118000046,34.92903836500005
1217,3851,2239,65,944,249,326,8891,R,29.564222346000065,34.95053524300005
91,23,53,2,2,7,1,179,L,29.576633574000027,34.97203212000005
35,39,58,3,3,0,0,138,C,29.713157082000066,34.993528998000045
0,0,0,0,0,0,0,0,L,29.80003567800003,35.01502587500005
114,8,28,5,1,2,8,166,L,29.824858134000067,35.01502587500005
0,0,0,0,0,0,0,0,L,29.91173673000003,34.993528998000045
292,19,70,3,7,3,3,397,L,29.899325502000067,35.05801963000005
14,27,41,0,8,0,1,91,C,29.93655918500008,34.95053524300005
109,17,49,3,2,7,3,190,L,29.94897041300004,35.05801963000005
113,19,49,1,6,5,6,199,L,29.97379286900008,35.05801963000005
48,6,11,2,0,0,5,72,L,29.98620409700004,35.07951650800004
0,0,0,0,0,0,0,0,L,30.03584900900006,35.03652275300004
105,19,47,3,3,8,6,191,L,30.04826023700008,35.01502587500005
46,14,39,0,2,3,4,108,L,30.08549392100008,35.12251026300004
78,26,146,0,3,2,2,257,C,30.358540937000043,35.165504018000036
35,16,27,1,1,4,8,92,L,30.482653217000063,35.165504018000036
59,32,119,0,1,2,2,215,C,30.569531813000026,35.18700089500004
182,890,287,23,113,23,98,1616,R,30.594354269000064,34.80005710100005
53,170,69,3,14,9,50,368,R,30.619176725000045,34.80005710100005
123,36,189,2,7,1,14,372,C,30.656410409000046,35.25149152700004
93,73,162,0,11,0,6,345,C,30.768111461000046,35.272988405000035
19,30,42,0,3,0,3,97,C,30.792933917000028,34.67107583600006
0,0,0,0,0,0,0,0,L,30.805345145000047,35.25149152700004
36,38,66,0,2,5,2,149,C,30.805345145000047,35.29448528200004
366,82,157,5,14,6,18,648,L,30.854990057000066,34.778560223000056
168,61,52,3,4,3,9,300,L,30.867401285000028,34.80005710100005
0,0,0,0,0,0,0,0,L,30.879812513000047,34.821553978000054
45,65,58,1,5,5,9,188,R,30.90463496900003,34.39161642800008
0,0,0,0,0,0,0,0,L,30.892223741000066,34.41311330600007
31,42,18,1,3,4,5,104,R,30.90463496900003,34.434610183000075
49,23,55,0,1,1,3,132,C,30.929457425000066,35.380472792000035
64,47,70,0,10,2,4,197,C,30.954279881000048,34.69257271300006
15,32,47,0,0,1,1,96,C,30.954279881000048,35.380472792000035
32,18,26,0,0,5,0,81,L,30.991513565000048,34.75706334600005
192,25,58,1,8,1,7,292,L,31.003924793000067,34.778560223000056
275,1590,473,35,1151,54,175,3753,R,30.991513565000048,34.92903836500005
0,2,4,336,5,1,5,353,A,31.01633602100003,34.714069591000055
12,110,0,0,10,0,4,136,R,31.05356970500003,34.69257271300006
266,45,65,4,5,11,24,420,L,31.041158477000067,34.714069591000055
20,425,7,196,1209,5,85,1947,O,31.041158477000067,34.84305085600005
134,1064,422,13,624,16,112,2385,R,31.05356970500003,35.03652275300004
64,587,214,4,267,9,44,1189,R,31.06598093300005,35.01502587500005
644,4923,1966,19,2199,115,441,10307,R,31.078392161000068,35.03652275300004
11,14,5,551,101,3,19,704,A,31.10321461700005,34.95053524300005
8,8,4,700,26,2,12,760,A,31.09080338900003,34.97203212000005
0,110,0,0,6,0,2,118,R,31.14044830100005,34.327125796000075
0,0,0,0,0,0,0,0,L,31.152859529000068,34.90754148800005
0,2,0,658,0,0,0,660,A,31.152859529000068,35.03652275300004
7,9,7,0,4,1,0,28,R,31.14044830100005,35.35897591500003
0,143,0,0,23,0,2,168,R,31.16527075700003,34.327125796000075
16,28,15,3026,18,2,19,3124,A,31.16527075700003,35.01502587500005
49,163,51,0,15,4,26,308,R,31.19009321300007,34.327125796000075
57,28,53,0,4,8,12,162,L,31.19009321300007,34.37011955100007
160,26,51,4,2,5,4,252,L,31.20250444100003,34.52059769300007
9,20,15,1735,24,3,47,1853,A,31.20250444100003,34.821553978000054
6,13,22,1158,52,3,27,1281,A,31.19009321300007,34.84305085600005
10,12,5,1152,21,1,42,1243,A,31.19009321300007,34.92903836500005
0,0,0,0,0,0,0,0,L,31.21491566900005,34.28413204100008
63,152,84,0,15,9,6,329,R,31.21491566900005,34.327125796000075
318,48,79,6,10,7,10,478,L,31.22732689700007,34.34862267400007
68,183,137,0,66,14,14,482,R,31.22732689700007,34.434610183000075
113,12,24,2,2,7,1,161,L,31.21491566900005,34.45610706100007
35,51,60,0,3,0,1,150,C,31.22732689700007,34.64957895800006
1676,7439,2822,102,1460,220,660,14379,R,31.22732689700007,34.778560223000056
73,163,129,2,24,3,3,397,R,31.21491566900005,34.886044611000045
0,0,0,0,0,0,0,0,L,31.22732689700007,35.03652275300004
1,0,2,542,12,1,4,562,A,31.22732689700007,35.07951650800004
1,2,2,99,59,0,2,165,A,31.22732689700007,35.208497772000044
18,10,1,0,0,7,0,36,L,31.23973812500003,34.28413204100008
89,42,41,0,2,2,9,185,L,31.23973812500003,34.327125796000075
43,54,55,0,2,5,10,169,C,31.25214935300005,34.39161642800008
102,176,137,1,85,5,9,515,R,31.23973812500003,34.41311330600007
375,22,138,0,7,9,8,559,L,31.23973812500003,34.714069591000055
596,3342,1459,16,837,57,119,6426,R,31.23973812500003,34.75706334600005
2646,11049,3583,99,3147,280,1135,21939,R,31.25214935300005,34.778560223000056
546,2793,1034,34,792,46,196,5441,R,31.23973812500003,34.80005710100005
28,175,49,2,70,4,28,356,R,31.25214935300005,34.821553978000054
46,70,29,3567,187,8,72,3979,A,31.25214935300005,34.86454773300005
11,4,2,201,204,1,12,435,O,31.25214935300005,34.95053524300005
0,14,0,227,2,0,0,243,A,31.25214935300005,35.03652275300004
26,9,7,1039,129,1,14,1225,A,31.25214935300005,35.07951650800004
20,28,17,1300,34,0,15,1414,A,31.23973812500003,35.101013385000044
1383,4044,1983,69,1846,163,462,9950,R,31.25214935300005,35.208497772000044
155,108,193,6,11,5,13,491,C,31.27697180900003,34.434610183000075
773,6259,1833,29,1521,170,377,10962,R,31.26456058100007,34.75706334600005
363,2659,695,19,1367,69,269,5441,R,31.27697180900003,34.778560223000056
1642,8250,2753,148,2861,203,617,16474,R,31.26456058100007,34.80005710100005
1288,1269,1669,28,157,37,55,4503,C,31.26456058100007,34.84305085600005
7,12,2,435,57,2,6,521,A,31.26456058100007,34.886044611000045
40,10,9,506,80,0,6,651,A,31.27697180900003,34.90754148800005
3,3,1,25,3,0,2,37,A,31.27697180900003,35.07951650800004
193,698,336,9,60,33,89,1418,R,31.27697180900003,35.208497772000044
236,11,49,5,2,8,5,316,L,31.30179426500007,34.434610183000075
162,22,45,9,2,3,9,252,L,31.30179426500007,34.52059769300007
40,296,82,0,74,8,16,516,R,31.30179426500007,34.606585203000066
25,239,65,1,85,9,19,443,R,31.28938303700005,34.62808208100006
479,1971,1061,27,502,30,123,4193,R,31.28938303700005,34.80005710100005
107,22,64,1026,13,5,18,1255,A,31.28938303700005,34.92903836500005
104,27,123,602,17,2,16,891,A,31.30179426500007,34.95053524300005
0,0,0,0,0,0,0,0,L,31.28938303700005,35.05801963000005
46,4,5,134,11,0,8,208,A,31.30179426500007,35.07951650800004
5,5,31,352,6,1,8,408,A,31.28938303700005,35.101013385000044
248,9,50,4,3,2,3,319,L,31.32661672100005,34.39161642800008
160,16,42,11,4,15,7,255,L,31.31420549300003,34.41311330600007
15,139,69,1,159,2,5,390,O,31.32661672100005,34.56359144800007
49,92,87,1,30,1,1,261,R,31.31420549300003,34.58508832600006
63,190,100,0,42,6,13,414,R,31.32661672100005,34.606585203000066
452,3638,923,18,4386,95,264,9776,O,31.31420549300003,34.62808208100006
56,294,103,0,74,3,4,534,R,31.32661672100005,34.64957895800006
2,43,4,0,701,2,12,764,O,31.31420549300003,34.67107583600006
16,18,11,2,6,1,2,56,R,31.32661672100005,34.69257271300006
25,31,18,3328,24,0,16,3442,A,31.32661672100005,34.86454773300005
966,1535,1415,11,150,37,49,4163,R,31.32661672100005,34.95053524300005
1,7,1,81,1,0,1,92,A,31.32661672100005,35.03652275300004
110,22,50,1,3,1,1,188,L,31.351439176000042,34.39161642800008
20,227,20,0,105,1,13,386,R,31.339027948000023,34.62808208100006
3,7,1,51,77,0,7,146,O,31.351439176000042,34.73556646800006
0,0,0,0,0,0,0,0,L,31.339027948000023,34.886044611000045
1,102,2,0,3,0,0,108,R,31.351439176000042,34.90754148800005
19,39,5,0,1,1,16,81,R,31.339027948000023,35.101013385000044
93,11,30,2,1,0,4,141,L,31.376261632000023,34.39161642800008
9,67,59,0,25,2,0,162,R,31.36385040400006,34.62808208100006
34,32,67,3,24,3,0,163,C,31.376261632000023,34.64957895800006
292,47,112,0,4,3,5,463,L,31.36385040400006,34.714069591000055
66,92,45,1549,97,1,49,1899,A,31.376261632000023,34.73556646800006
41,53,59,1,5,0,4,163,C,31.36385040400006,34.75706334600005
925,874,1467,30,104,39,50,3489,C,31.376261632000023,34.821553978000054
175,15,86,0,5,6,2,289,L,31.376261632000023,34.86454773300005
29,186,74,0,19,2,6,316,R,31.376261632000023,34.95053524300005
23,115,22,0,13,5,9,187,R,31.36385040400006,35.05801963000005
6,209,0,0,10,0,0,225,R,31.36385040400006,35.101013385000044
156,12,49,2,4,1,28,252,L,31.388672860000042,34.45610706100007
3,191,55,0,86,2,8,345,R,31.388672860000042,34.58508832600006
12,682,74,1,229,5,6,1009,R,31.40108408800006,34.606585203000066
22,62,55,0,28,0,3,170,R,31.388672860000042,34.62808208100006
6,11,2,670,10,2,10,711,A,31.40108408800006,34.73556646800006
170,157,89,9916,125,13,162,10632,A,31.388672860000042,34.75706334600005
215,31,96,0,5,5,6,358,L,31.40108408800006,34.821553978000054
17,75,36,0,9,2,9,148,R,31.40108408800006,34.90754148800005
14,94,19,0,8,2,1,138,R,31.388672860000042,35.01502587500005
0,367,1,1,6,3,3,381,R,31.388672860000042,35.101013385000044
453,36,114,3,2,6,12,626,L,31.413495316000024,34.499100816000066
3,96,10,0,32,1,0,142,R,31.425906544000043,34.52059769300007
154,4045,481,9,4017,52,220,8978,R,31.413495316000024,34.58508832600006
52,1236,123,0,1313,13,62,2799,O,31.425906544000043,34.606585203000066
6,85,50,0,29,0,2,172,R,31.425906544000043,34.64957895800006
25,55,21,0,83,4,16,204,O,31.425906544000043,34.69257271300006
247,32,105,164,9,4,12,573,L,31.413495316000024,34.75706334600005
0,165,1,0,3,0,1,170,R,31.425906544000043,35.165504018000036
12,218,23,0,14,1,0,268,R,31.450729000000024,34.52059769300007
9,625,10,1,123,6,9,783,R,31.43831777200006,34.542094571000064
2,98,0,0,85,1,1,187,R,31.450729000000024,34.56359144800007
52,351,69,0,1607,3,26,2108,O,31.43831777200006,34.58508832600006
5,61,10,0,113,0,4,193,O,31.450729000000024,34.606585203000066
75,193,187,0,62,10,8,535,R,31.450729000000024,34.64957895800006
12,58,50,0,57,2,9,188,R,31.43831777200006,34.67107583600006
23,82,39,1,48,0,8,201,R,31.43831777200006,34.714069591000055
231,51,139,0,4,4,4,433,L,31.43831777200006,34.75706334600005
0,240,3,0,6,1,2,252,R,31.43831777200006,34.886044611000045
3,279,2,0,11,1,4,300,R,31.43831777200006,35.01502587500005
117,24,73,2,1,3,10,230,L,31.463140228000043,34.499100816000066
66,320,48,1,24,3,8,470,R,31.463140228000043,34.542094571000064
13,174,77,0,39,0,15,318,R,31.475551456000062,34.606585203000066
4,91,5,0,33,0,1,134,R,31.463140228000043,34.62808208100006
42,97,48,0,34,6,12,239,R,31.475551456000062,34.64957895800006
70,50,46,4,41,0,1,212,L,31.463140228000043,34.67107583600006
0,131,0,0,2,0,3,136,R,31.475551456000062,35.165504018000036
166,38,68,1,8,6,20,307,L,31.475551456000062,35.380472792000035
200,35,228,6,4,2,17,492,C,31.487962684000024,34.542094571000064
229,43,121,1,5,4,12,415,L,31.500373912000043,34.56359144800007
145,19,61,1,2,7,3,238,L,31.500373912000043,34.606585203000066
82,77,67,2,14,7,6,255,L,31.487962684000024,34.62808208100006
199,12,127,5,6,4,8,361,L,31.500373912000043,34.64957895800006
232,22,51,0,0,0,4,309,L,31.500373912000043,34.69257271300006
0,0,0,0,0,0,0,0,L,31.487962684000024,34.92903836500005
0,0,0,0,0,0,0,0,L,31.487962684000024,34.97203212000005
0,210,0,0,4,0,0,214,R,31.500373912000043,35.07951650800004
172,467,228,4,228,22,37,1158,R,31.512785140000062,34.58508832600006
188,2202,751,10,762,39,155,4107,R,31.525196368000024,34.606585203000066
10,224,22,0,14,1,4,275,R,31.525196368000024,34.90754148800005
55,195,68,0,16,1,2,337,R,31.512785140000062,34.92903836500005
21,1848,31,3,97,17,58,2075,R,31.525196368000024,35.12251026300004
151,16,97,3,6,6,8,287,L,31.550018824000063,34.56359144800007
171,2398,827,10,744,33,132,4315,R,31.537607596000043,34.58508832600006
215,28,130,1,5,5,9,393,L,31.550018824000063,34.606585203000066
238,46,128,5,1,4,4,426,L,31.550018824000063,34.64957895800006
3,143,18,2,50,7,2,225,R,31.550018824000063,34.778560223000056
0,0,0,0,0,0,0,0,L,31.550018824000063,34.90754148800005
0,0,0,0,0,0,0,0,L,31.537607596000043,34.92903836500005
3,230,6,0,7,0,1,247,R,31.537607596000043,35.101013385000044
17,939,10,0,30,5,20,1021,R,31.550018824000063,35.12251026300004
115,130,187,2,9,8,7,458,C,31.562430052000025,34.542094571000064
284,27,119,3,3,4,9,449,L,31.574841280000044,34.56359144800007
15,108,24,0,59,0,16,222,R,31.574841280000044,34.64957895800006
6,180,12,1,135,0,6,340,R,31.562430052000025,34.67107583600006
15,75,18,0,80,1,6,195,O,31.574841280000044,34.69257271300006
4,91,12,0,114,0,1,222,O,31.574841280000044,34.73556646800006
1,122,10,0,78,1,0,212,R,31.562430052000025,34.80005710100005
178,36,135,1,11,6,10,377,L,31.562430052000025,34.84305085600005
10,91,35,0,6,1,1,144,R,31.562430052000025,35.01502587500005
2,71,11,0,9,0,2,95,R,31.574841280000044,35.03652275300004
