Knesset Party ID	Excel Name	Party Name	Knesset	Bloc
5	זץ	Tzomet	24	Micro Party
6	ט	Religious Zionist Party	24	Orthodox
7	י	Social Bang – Pensioners	24	Micro Party
8	יז	New Economic Party	24	Micro Party
9	ינ	Common Alliance	24	Micro Party
10	יף	Human Dignity	24	Micro Party
11	יק	Bible Bloc	24	Micro Party
12	יר	Social Leadership	24	Micro Party
13	כ	Jewish Heart	24	Micro Party
14	כך	Me and You	24	Micro Party
15	כן	Blue and White	24	Secular Centre
16	ל	Yisrael Beiteinu	24	Right Wing
17	מחל	Likud	24	Right Wing
18	מרצ	Meretz	24	Left Wing
19	נ	Kama	24	Micro Party
20	ני	New World	24	Micro Party
21	נר	Us	24	Micro Party
22	עם	United Arab List	24	Arab-Israeli Interests
23	פה	Yesh Atid	24	Secular Centre
24	ףז	Pirate Party	24	Micro Party
25	צי	Atzmeinu	24	Micro Party
26	צכ	Ma'an – Together for a New Era	24	Micro Party
27	צף	Hetz	24	Micro Party
28	ץ	Da'am Workers Party	24	Micro Party
29	ק	The Impossible – Possible	24	Micro Party
30	קי	Shama	24	Micro Party
31	קך	New Order	24	Micro Party
32	קץ	Mishpat Tzedek	24	Micro Party
33	ר	Rapeh only Health	24	Micro Party
34	רנ	Hope for Change	24	Micro Party
35	רף	Am Shalem	24	Micro Party
36	שס	Shas	24	Orthodox
37	ת	New Hope	24	Right Wing
